Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,7,1686.2915,1686.3075,1688.614,1688.263,1679.9142,1675.7924,1671.4946,1680.1189,1691.5924,1727.168,1775.5392
1C,2,1798.2965,1785.8392,1798.7988,1823.117,1838.4868,1854.0383,1860.1806,1871.5636,1899.5207,1940.3835,1988.4699
1C,3,1990.253,1979.0201,1971.0128,1976.538,1983.4441,1982.7446,1979.1971,1988.6725,2002.6321,2033.0498,2071.7246
1C,1,1705.826,1707.5357,1719.9194,1716.5137,1731.8896,1739.1201,1736.68,1740.0139,1764.0404,1808.8993,1848.1333
1C,3,1928.5802,1899.8026,1897.5026,1915.0682,1929.2828,1951.1468,1949.7808,1958.1341,1981.7047,2027.0374,2071.2527
1C,7,1850.3639,1827.565,1803.6842,1805.4614,1800.8238,1778.802,1772.3721,1775.3831,1795.095,1827.6553,1860.7682
1C,7,1949.7508,1943.1141,1942.6438,1941.4493,1944.537,1954.4481,1939.3691,1944.5254,1961.034,1993.788,2023.0563
1C,4,2016.2181,2000.9544,1993.8331,1982.8653,1993.4946,1993.4362,1990.9558,1994.7496,2011.2043,2036.9351,2072.9765
1C,1,1959.8639,1966.7809,1973.1755,1984.7276,1987.2691,1995.5433,1989.5722,2000.2358,2022.41,2052.4683,2069.3084
1C,3,1877.154,1872.3867,1870.4321,1888.9983,1892.4199,1898.1603,1896.4942,1906.7926,1924.3697,1961.0128,1986.1539
1C,3,1763.2989,1741.537,1728.8308,1732.165,1739.9745,1753.8855,1752.4316,1759.949,1779.8644,1811.7673,1855.5732
1C,2,1771.8834,1751.1503,1770.8162,1776.2394,1774.2595,1773.1042,1768.7245,1776.4817,1782.4124,1822.3171,1854.3994
1C,3,1911.6422,1915.4353,1911.6064,1916.7095,1936.4936,1950.6615,1938.957,1945.3665,1950.2293,1976.236,1995.4942
1C,1,1546.4832,1551.9683,1548.1049,1567.3595,1573.8653,1590.04,1585.5745,1603.9146,1628.466,1671.8325,1711.7734
1C,3,1876.7835,1875.0171,1872.0306,1895.1437,1906.5847,1908.6636,1911.4969,1922.6553,1938.7314,1964.9737,1988.6177
1C,3,2053.8418,2045.2616,2038.4004,2038.6015,2048.8077,2058.7257,2052.6758,2057.7505,2076.8043,2106.9989,2145.1082
1C,2,1740.6822,1733.3344,1739.9094,1749.3262,1760.023,1772.5674,1777.6886,1788.0888,1806.355,1841.0036,1874.5814
1C,3,1875.0938,1851.5094,1826.5664,1831.9397,1843.304,1834.3788,1835.0899,1845.5107,1855.4221,1891.5448,1935.5766
1C,2,2041.6478,2020.563,2025.5554,2045.4545,2055.6621,2057.3756,2054.7391,2062.5356,2074.5568,2117.085,2158.1316
1C,3,1834.5224,1835.9553,1833.2031,1848.354,1871.4112,1873.5266,1874.4822,1884.3317,1903.6668,1941.1547,1968.4522
1C,7,1982.4687,1965.8862,1962.6065,1952.8022,1933.9594,1922.644,1919.6091,1931.692,1944.5357,1965.9474,1997.2062
1C,1,2005.8324,2008.3,2006.8498,2015.5931,2024.4454,2042.5592,2048.2028,2057.9983,2073.2729,2115.9354,2156.6422
1C,2,2133.173,2106.922,2107.9684,2129.7704,2136.377,2148.6511,2142.8953,2152.9809,2171.4125,2198.9623,2239.3155
1C,2,1811.2333,1786.0755,1794.099,1822.3058,1831.5854,1819.6911,1827.2726,1839.6704,1858.2551,1895.4323,1924.2414
1C,1,2071.0554,2072.5934,2079.7462,2091.2944,2082.7362,2081.57,2079.0729,2088.4469,2100.0674,2133.5586,2171.3739
1C,4,1580.4514,1568.7669,1563.2931,1550.9603,1568.5645,1573.3637,1567.7645,1571.0888,1588.3758,1614.7273,1654.4072
1C,3,1716.0223,1697.3741,1690.4034,1703.982,1716.816,1716.8281,1713.5348,1730.9587,1752.4772,1791.8138,1814.0317
1C,3,1926.9909,1914.874,1912.6806,1916.8972,1925.1804,1942.3688,1940.6106,1949.1182,1962.5283,2002.2186,2035.9678
1C,2,1872.9154,1858.3178,1863.4124,1871.6229,1881.9212,1887.8568,1879.0098,1889.1001,1909.8707,1949.0473,1981.2846
1C,3,1662.8367,1661.2582,1640.8702,1658.8421,1663.5878,1680.0003,1678.2035,1689.8239,1702.928,1736.1956,1755.078
1C,7,1932.637,1931.676,1938.2079,1918.1626,1912.4809,1913.726,1905.3103,1908.5445,1919.8983,1947.466,1989.9571
1C,6,1797.3741,1777.139,1767.9747,1771.1217,1772.6789,1758.7941,1758.888,1763.0117,1777.6933,1796.4444,1824.5083
1C,3,2020.362,2020.4617,2001.4845,2008.5181,2022.8417,2023.1422,2025.9156,2036.4523,2050.606,2086.2767,2114.3972
1C,3,2050.8469,2047.3101,2041.2203,2050.7696,2066.2175,2087.1265,2089.4456,2094.9492,2113.0672,2141.555,2175.3295
