0,1,2,3
054-ER18,474.35443037974676,540.5769687785723,Validation
058-ER18,371.147132169576,584.6598682495678,Validation
067-ER18,472.2139303482586,691.0023541396431,Validation
073-ER18,392.7047146401985,266.16672934699636,Validation
108-ER18,184.8614609571788,348.6062104783309,Validation
143-ER18,398.6967418546367,309.82791637412356,Validation
145-ER18,683.6775818639799,263.9179396152913,Validation
174-ER18,340.4556962025317,580.1127132373658,Validation
196-ER18,327.7918781725889,595.9908374956703,Validation
206-ER18,269.9251870324189,423.96694164161636,Validation
215-ER18,704.1749999999997,620.9700827495053,Validation
218-ER18,532.3880597014926,580.6910479281455,Validation
239-ER18,665.3598014888338,630.1234217188648,Validation
243-ER18,474.0942928039702,507.43901516325536,Validation
264-ER18,517.8411910669976,470.9305953856847,Validation
270-ER18,642.4009900990097,584.7747615041999,Validation
272-ER18,605.3827160493828,530.2039890079459,Validation
278-ER18,468.13432835820885,466.19067555541005,Validation
285-ER18,416.2436548223352,562.6719948485247,Validation
341-ER18,586.4427860696517,560.5517185193935,Validation
344-ER18,597.7475247524753,599.6774286243754,Validation
348-ER18,657.8358208955224,501.04921500256887,Validation
349-ER18,632.3383084577114,575.5270350322053,Validation
358-ER18,556.2814070351759,529.3484471143947,Validation
365-ER18,556.7901234567902,451.70175065216245,Validation
368-ER18,653.9753086419753,354.8534433058285,Validation
372-ER18,560.2992518703243,427.04315025847245,Validation
378-ER18,567.7721518987343,530.9871036536597,Validation
386-ER18,726.864197530864,582.9360749426708,Validation
404-ER18,315.61881188118815,522.127953934767,Validation
407-ER18,359.3827160493828,517.5100825912996,Validation
412-ER18,352.15346534653463,431.1990909028045,Validation
416-ER18,368.07980049875306,548.5432107500674,Validation
430-ER18,161.97530864197532,527.4585258583709,Validation
432-ER18,165.85427135678395,505.7414740964682,Validation
470-ER18,1983.0198019801983,506.37407033842635,Validation
001-ER18,682.6448362720404,473.75175807196047,Calibration
002-ER18,391.4105793450882,406.16755493985147,Calibration
003-ER18,334.7989949748744,484.77608442724795,Calibration
004-ER18,297.1464646464646,342.8026265686967,Calibration
005-ER18,396.6080402010051,474.30445150327387,Calibration
006-ER18,399.8009950248757,388.7593674648688,Calibration
007-ER18,638.2367758186398,630.6385039010074,Calibration
008-ER18,351.575,453.1247469454174,Calibration
009-ER18,406.8939393939394,497.9097618540791,Calibration
010-ER18,575.0379746835442,552.27765675512,Calibration
011-ER18,605.820895522388,555.2215936771081,Calibration
012-ER18,2230.197530864197,793.4338418763755,Calibration
013-ER18,503.1358024691357,599.7101144739108,Calibration
015-ER18,553.7530864197531,511.88346108045516,Calibration
016-ER18,353.1683168316831,629.1489325337016,Calibration
017-ER18,338.3004926108375,470.23246098749223,Calibration
018-ER18,340.1481481481481,706.2686186220985,Calibration
019-ER18,488.9629629629629,583.9110254318766,Calibration
021-ER18,399.6984924623116,321.1446246360638,Calibration
022-ER18,396.57430730478586,404.8453098404302,Calibration
024-ER18,422.17821782178214,437.6255091634266,Calibration
025-ER18,386.6004962779156,572.5578384967512,Calibration
027-ER18,406.9478908188586,448.13344343418476,Calibration
028-ER18,379.47890818858565,483.29406454841137,Calibration
029-ER18,387.3366834170855,437.9478490388765,Calibration
030-ER18,1193.6453201970442,562.4403350638222,Calibration
033-ER18,408.98263027295275,514.8317284549572,Calibration
034-ER18,329.8496240601504,434.7066030416099,Calibration
037-ER18,435.7537688442212,397.2663706782005,Calibration
042-ER18,455.78163771712167,386.1153730153532,Calibration
044-ER18,453.96508728179566,608.7179971100913,Calibration
045-ER18,656.6089108910891,804.2179092010019,Calibration
046-ER18,428.3126550868486,666.1710468708607,Calibration
047-ER18,1423.8916256157631,1007.0341738198777,Calibration
048-ER18,681.6502463054188,599.5753859038068,Calibration
050-ER18,443.573200992556,524.1605508380517,Calibration
051-ER18,367.37623762376234,588.3993836199415,Calibration
052-ER18,432.3267326732674,791.6898898402305,Calibration
053-ER18,404.8492462311558,471.9188048446622,Calibration
055-ER18,357.358024691358,553.6134494432849,Calibration
056-ER18,377.5247524752476,589.6317119439327,Calibration
057-ER18,347.9404466501242,749.7523724720909,Calibration
059-ER18,242.54950495049502,567.867295781984,Calibration
060-ER18,442.3152709359605,623.2866814143988,Calibration
061-ER18,410.0,559.6182059238315,Calibration
062-ER18,370.025,463.2537947448974,Calibration
063-ER18,485.20100502512565,505.1330245844913,Calibration
064-ER18,343.1851851851852,516.3679139103215,Calibration
065-ER18,423.29177057356605,593.148792054526,Calibration
069-ER18,1330.9701492537308,757.9054042739617,Calibration
071-ER18,258.07106598984774,320.87840979484463,Calibration
072-ER18,379.32668329177056,272.0192781139067,Calibration
074-ER18,412.0246913580246,420.262170988608,Calibration
075-ER18,405.9506172839506,457.2769936035031,Calibration
076-ER18,414.07960199004975,394.3786696474408,Calibration
077-ER18,588.2160804020101,489.23691082759524,Calibration
078-ER18,439.57711442786064,354.75688083870637,Calibration
079-ER18,422.148148148148,276.056814279993,Calibration
080-ER18,511.73697270471473,364.78190214518327,Calibration
081-ER18,513.7974683544303,279.4615398885562,Calibration
082-ER18,474.4139650872818,301.76418533748574,Calibration
083-ER18,337.1111111111111,329.05733313091946,Calibration
084-ER18,320.95959595959596,384.3013898119366,Calibration
085-ER18,403.9108910891089,633.8413261843828,Calibration
086-ER18,276.75,314.22236839531115,Calibration
087-ER18,390.47619047619065,277.6871993746918,Calibration
088-ER18,306.7407407407407,415.5080194361706,Calibration
089-ER18,334.07407407407413,276.1919527454063,Calibration
090-ER18,390.6218905472637,429.74590669697454,Calibration
092-ER18,315.07389162561583,227.70130712644323,Calibration
093-ER18,374.39205955334984,343.3361190381979,Calibration
097-ER18,283.76847290640393,344.2622684259406,Calibration
102-ER18,359.25742574257424,191.53854554367985,Calibration
103-ER18,292.5679012345678,250.54492638426777,Calibration
104-ER18,357.98507462686564,335.8776929302003,Calibration
105-ER18,373.3746898263028,304.56572551755835,Calibration
106-ER18,250.04938271604942,186.1879721362427,Calibration
107-ER18,224.57286432160808,329.17513089492445,Calibration
109-ER18,272.9925187032419,399.7693546004084,Calibration
110-ER18,236.460396039604,409.91013632552495,Calibration
112-ER18,300.25252525252523,278.68726050135183,Calibration
113-ER18,260.1728395061728,303.61788058973457,Calibration
118-ER18,246.8261964735516,283.1499251270046,Calibration
122-ER18,255.74257425742584,274.88867188849184,Calibration
123-ER18,236.1845386533666,382.8957816512065,Calibration
128-ER18,244.975,480.5979610847362,Calibration
129-ER18,203.96464646464645,246.92302965053946,Calibration
130-ER18,209.14141414141415,257.30583116740377,Calibration
132-ER18,235.62025316455697,322.7656064995367,Calibration
133-ER18,264.68354430379753,270.0282119552806,Calibration
134-ER18,339.23857868020315,337.8817512663045,Calibration
135-ER18,229.26952141057944,455.2930500332975,Calibration
136-ER18,239.92592592592587,380.8950474632302,Calibration
137-ER18,273.6802030456853,382.8635131690867,Calibration
138-ER18,259.05472636815915,265.3400773028834,Calibration
139-ER18,243.97530864197532,329.1832073606938,Calibration
140-ER18,297.81094527363183,282.0958084980821,Calibration
141-ER18,277.808564231738,333.09718712484096,Calibration
142-ER18,346.522842639594,404.8470462256687,Calibration
144-ER18,609.2911392405064,409.9745723246465,Calibration
146-ER18,575.025,358.89153653355334,Calibration
147-ER18,296.3979848866498,338.7926546186136,Calibration
148-ER18,319.57393483709274,355.64415854437857,Calibration
149-ER18,478.8471177944864,281.22928528899,Calibration
150-ER18,314.74747474747466,360.371270347101,Calibration
151-ER18,231.60305343511456,344.23221768805706,Calibration
152-ER18,379.82233502538077,380.43297721786166,Calibration
153-ER18,339.1358024691358,252.74394984026412,Calibration
154-ER18,336.2000000000001,417.8894727711213,Calibration
155-ER18,301.89054726368147,334.17185313082155,Calibration
156-ER18,338.12345679012344,353.39776596227057,Calibration
157-ER18,273.3333333333333,494.3995037636837,Calibration
158-ER18,296.3979848866498,341.39967035754853,Calibration
160-ER18,276.1012658227848,361.48090143788613,Calibration
161-ER18,266.140350877193,434.91844894919905,Calibration
162-ER18,430.81218274111677,415.8761214873866,Calibration
163-ER18,281.875,275.9026075291804,Calibration
164-ER18,578.7626262626262,376.3453702270399,Calibration
165-ER18,338.0152671755725,305.92081055086874,Calibration
166-ER18,268.90274314214463,426.5076416832976,Calibration
167-ER18,414.05940594059405,445.65601608349925,Calibration
168-ER18,278.8,423.87552728382434,Calibration
