Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,6,1767.4445,1751.7139,1752.4109,1746.7096,1753.9945,1745.6162,1759.6975,1768.8809,1796.7938,1832.5383,1870.8834
1C,2,1777.8967,1753.1839,1771.7331,1771.9725,1804.9486,1809.1893,1823.0315,1840.4735,1855.242,1896.2035,1938.9726
1C,1,1943.0583,1951.5584,1958.9033,1968.1353,1976.7652,1981.744,1986.4711,1996.5754,2022.2228,2053.6999,2087.2093
1C,7,2021.8142,1989.6233,1978.4343,1981.6725,1978.1968,1980.6796,1967.1614,1974.4641,2004.0547,2022.7478,2057.8079
1C,4,1719.6174,1702.1371,1696.9252,1695.433,1721.0191,1731.6776,1729.3363,1741.2484,1769.0223,1804.4566,1844.5569
1C,2,1771.7908,1765.9856,1772.6406,1772.8655,1777.3793,1772.3995,1780.2907,1788.257,1813.1332,1844.3382,1868.9325
1C,6,1868.0076,1858.8206,1845.9693,1851.1532,1876.2452,1833.851,1837.836,1843.6669,1849.9533,1876.4008,1910.5447
1C,7,1725.3268,1699.3491,1688.5562,1681.3774,1663.7651,1665.4412,1661.8392,1666.8701,1690.3616,1722.4134,1761.1829
1C,4,1892.4736,1882.1297,1882.8796,1881.9422,1900.3556,1885.1995,1897.1522,1909.4108,1930.2058,1960.0079,1984.2137
1C,3,1458.9583,1446.8432,1446.0392,1455.663,1462.7653,1476.8506,1493.3919,1510.5177,1546.1774,1599.7775,1640.8635
1C,7,1798.7456,1774.0768,1767.891,1766.9469,1767.874,1760.8784,1756.1584,1758.8422,1776.1911,1793.4194,1819.8366
1C,2,1759.6979,1758.0086,1774.0356,1765.1894,1770.0874,1769.0119,1765.1612,1785.0672,1802.9849,1848.9142,1876.5256
1C,2,1732.1136,1728.8039,1732.1231,1735.8872,1750.9482,1753.7749,1750.4632,1768.2194,1809.1449,1839.5644,1870.7381
1C,3,2041.7784,2034.5627,2018.0699,2020.7317,2029.2346,2019.121,2031.9928,2046.3142,2063.7536,2100.4321,2133.7607
1C,5,1811.0501,1804.9234,1793.0217,1785.9285,1773.322,1776.6534,1777.0092,1786.8794,1808.9877,1843.0796,1862.2519
1C,3,1817.1187,1821.3418,1795.6331,1805.519,1818.5783,1819.0157,1831.6701,1844.0793,1860.3903,1903.4516,1934.0087
1C,4,1875.1345,1843.9213,1850.588,1837.4003,1857.2949,1853.135,1863.8743,1879.5945,1911.7477,1946.0489,1987.2363
1C,2,1793.7048,1776.3345,1793.7393,1798.2758,1811.6716,1823.0212,1833.4723,1853.6703,1884.6977,1926.8159,1950.9839
1C,5,1790.322,1791.2599,1783.0686,1761.1698,1750.4699,1754.3321,1751.5042,1762.4185,1787.6995,1817.2238,1836.334
1C,4,2037.9866,2020.6818,2027.0138,2016.2507,2019.1236,2024.653,2018.2752,2029.1898,2055.5611,2091.6637,2125.2805
1C,1,1368.4339,1370.3077,1369.5161,1370.7458,1375.5311,1383.8049,1393.1952,1408.71,1435.6199,1474.2983,1509.6029
1C,6,1838.7506,1820.9091,1819.9547,1819.2722,1825.6312,1805.4586,1825.7959,1843.0318,1874.9962,1901.9507,1928.616
1C,4,1682.7106,1663.1059,1676.5015,1645.9312,1670.4857,1664.1394,1666.3926,1680.6843,1703.3092,1746.3458,1788.1938
1C,6,1444.2616,1420.8881,1409.8715,1392.507,1399.1029,1392.189,1421.3066,1436.0721,1455.0294,1499.141,1531.6845
1C,7,1883.6705,1862.96,1871.2479,1850.0758,1846.6562,1843.7651,1841.6725,1854.1354,1878.536,1912.5479,1956.6139
1C,3,1639.6364,1648.7459,1631.5259,1655.2125,1656.0686,1675.636,1678.9852,1692.04,1717.3655,1768.4195,1808.9066
1C,7,1731.3524,1712.6164,1698.1771,1683.5209,1692.0834,1688.0339,1681.213,1694.3465,1713.142,1746.7014,1778.9327
1C,3,1861.3749,1855.0328,1846.6248,1860.0652,1861.1531,1866.5631,1851.503,1856.7142,1878.8366,1912.3014,1936.1653
1C,5,1631.4733,1630.7352,1635.309,1637.3201,1629.4287,1638.3651,1638.8489,1652.4703,1661.0001,1696.7777,1717.5435
1C,6,2034.9858,2030.7857,2030.7857,2025.6174,2023.9602,2022.0363,2036.5938,2048.8696,2074.9845,2116.3051,2156.7435
1C,7,1708.1689,1682.3628,1680.0073,1652.2955,1637.8523,1631.0877,1621.1307,1622.7792,1659.6539,1688.9776,1716.7251
1C,4,1479.4664,1472.643,1466.2749,1446.5519,1452.1594,1459.9796,1479.7502,1489.7032,1509.4019,1534.1382,1562.3504
1C,1,1825.3912,1826.5717,1830.2833,1850.5559,1838.4681,1831.8726,1835.5089,1845.0705,1861.667,1885.5113,1913.7836
1C,4,1672.988,1661.8973,1677.16,1646.2491,1671.1949,1659.9486,1659.4663,1668.0523,1684.5536,1703.1285,1715.9327
1C,2,1555.0731,1526.7965,1527.9566,1532.879,1530.3344,1534.1291,1526.9963,1530.659,1557.7993,1585.9382,1627.6483
1C,4,1948.716,1923.7892,1933.2991,1921.5602,1940.8281,1935.5123,1964.507,1984.4025,2016.2253,2054.8529,2088.6023
1C,7,1589.4399,1576.2052,1570.7603,1544.3035,1533.7515,1531.525,1529.499,1541.0649,1557.7493,1592.9174,1633.4221
1C,5,1978.5748,1943.1157,1941.1793,1938.3211,1931.4738,1941.0568,1934.8691,1943.7068,1972.3808,2015.2173,2046.8325
1C,6,1937.1765,1909.2529,1895.0388,1885.6896,1896.6658,1875.5771,1891.799,1910.2542,1946.741,1980.7686,2022.0799
1C,2,1578.3232,1571.2693,1589.5197,1591.7468,1597.904,1603.0153,1621.0483,1629.9064,1674.559,1708.1142,1739.6196
1C,2,1491.2345,1485.3662,1490.6823,1501.8,1505.7565,1514.6447,1515.644,1530.9285,1553.2011,1598.699,1628.8246
1C,7,1931.4229,1921.9479,1903.96,1907.4077,1900.3117,1897.6238,1888.6784,1899.8786,1930.8687,1958.5664,1979.0477
1C,7,1938.7981,1928.4401,1918.9508,1914.7622,1905.6477,1904.1137,1900.6063,1910.9961,1937.6017,1963.1377,1997.2031
1C,3,1728.4928,1687.8489,1666.5615,1669.4388,1683.2778,1677.0618,1673.7348,1693.4254,1719.7195,1749.8113,1787.736
1C,7,1681.1849,1669.1732,1667.6641,1647.7558,1642.54,1644.6368,1634.8369,1637.5534,1676.6315,1698.431,1719.4997
1C,3,1980.368,1958.0087,1957.9709,1967.9296,1963.5017,1965.2153,1969.4295,1983.3482,2014.9729,2061.933,2111.7791
1C,4,2008.4575,1996.8581,2000.752,1978.0403,1984.875,1992.7254,1986.6135,1992.2012,2014.5416,2059.5605,2097.2153
1C,6,1405.7415,1394.383,1378.5831,1375.3517,1377.7239,1373.2937,1382.5442,1389.9539,1414.1818,1457.9115,1489.7888
1C,3,1520.3729,1493.8121,1489.8572,1504.3162,1518.7198,1511.3403,1516.7076,1524.3209,1535.6167,1555.9491,1582.035
1C,1,1824.5902,1825.8969,1828.8913,1835.0811,1853.1539,1863.2531,1861.7105,1876.9496,1915.9868,1962.9939,2014.2038
1C,6,1661.8149,1652.736,1652.5734,1637.8446,1623.6185,1623.1962,1631.8694,1642.4921,1665.3459,1695.6531,1713.7226
1C,5,1744.3491,1723.5348,1713.8929,1707.2983,1705.1555,1718.6481,1730.9833,1743.0659,1773.0027,1814.8292,1841.3285
1C,6,1926.6601,1912.4164,1912.6468,1911.4461,1907.0325,1900.5099,1905.2733,1915.5938,1937.1861,1976.4705,2018.233
1C,6,1971.4766,1946.3956,1914.0203,1908.08,1925.9844,1892.7292,1898.7196,1901.8137,1924.2275,1944.5547,1978.9284
1C,3,1742.7631,1710.4144,1707.2198,1716.8342,1718.4709,1731.469,1732.9001,1741.8217,1772.1074,1804.3921,1844.6476
