Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,6,212.5267,211.5926,208.9955,206.3435,204.8462,204.0125,206.5714,206.9445,216.4191,226.4545,239.7486
1C,7,188.5415,187.5313,189.94,186.6226,186.3354,185.8583,184.8713,188.1511,192.2922,200.6792,211.5103
1C,6,214.9802,214.4812,212.5894,205.5549,204.9136,204.0334,206.0104,212.4766,220.6244,224.0924,241.9381
1C,5,226.0686,230.657,219.3912,209.8305,202.2689,205.5434,204.8483,203.5085,209.7614,215.8793,232.9942
1C,3,198.3588,197.1034,193.761,194.3832,195.4329,196.8013,197.4954,201.5129,211.3825,224.0614,226.1645
1C,4,195.3336,193.419,190.1233,189.5473,195.2199,204.562,209.2982,216.7322,226.0101,233.4359,251.0196
1C,6,111.0309,110.3165,109.3429,110.9883,110.5883,109.1361,111.3822,113.914,115.531,121.5991,128.3939
1C,1,180.3471,185.1267,186.8152,190.5598,196.0568,197.04,194.8319,203.4012,207.9881,212.8586,218.6049
1C,1,153.6236,154.6234,155.3331,155.6859,161.2897,161.8411,168.2236,171.2331,178.5863,187.2321,200.9218
1C,3,210.8383,204.466,203.376,203.7151,204.7474,204.7952,206.6593,208.0957,207.2372,208.6737,243.6346
1C,3,206.2363,206.6523,201.9646,205.8913,206.1268,209.478,215.7546,218.6576,233.6842,240.4308,268.2475
1C,5,202.3522,198.6906,197.152,196.7492,195.0273,196.0357,199.006,200.6386,210.0194,218.3261,220.3519
1C,7,203.7452,203.9465,202.9735,199.8674,197.2887,197.2175,193.6682,196.0876,200.9845,217.7406,232.006
1C,8,209.3159,208.4772,212.4059,209.7647,209.5451,208.0113,213.707,207.1453,218.9311,216.8547,236.409
1C,2,219.5312,216.4542,219.3814,217.7663,222.6476,223.2294,228.7322,232.5092,238.2054,249.823,269.6346
1C,2,191.3042,190.6542,194.0045,192.7671,196.8936,197.3161,198.303,198.3745,203.4776,210.1045,225.0539
1C,1,208.5024,212.6692,218.6774,215.4779,218.1035,218.1873,218.072,221.9911,222.8981,232.0859,235.5543
1C,4,194.2297,192.1054,190.1167,184.6524,184.7467,186.7361,190.1247,193.0086,210.2752,222.2357,241.9957
1C,1,152.9785,157.3783,155.1828,159.6466,157.2456,159.6317,156.2047,164.2526,172.9938,188.8033,207.6467
1C,1,185.2437,187.0886,186.2106,186.5574,187.0435,189.0592,193.7535,200.5781,206.9742,217.3735,243.3876
