Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,5,2386.5289,2375.2718,2366.2008,2344.9987,2336.2775,2360.1193,2357.6298,2376.437,2386.4608,2442.409,2542.3552
1C,4,2209.7903,2192.7414,2141.5881,2119.8983,2134.1455,2168.0882,2163.9204,2180.6441,2188.0557,2237.9107,2338.9291
1C,4,2370.5203,2346.3997,2272.0615,2256.61,2268.9549,2275.3098,2288.5307,2279.4369,2299.6868,2350.1894,2425.7434
1C,8,2356.4281,2373.03,2302.1374,2250.2344,2232.2996,2234.2025,2209.5455,2209.3662,2226.4642,2281.7012,2362.5937
1C,4,2230.7935,2219.7997,2171.985,2140.6574,2159.4537,2173.0603,2147.5153,2164.4307,2170.8911,2197.9405,2302.0147
1C,4,2393.7431,2411.5341,2384.8938,2381.1505,2395.0463,2432.2731,2388.0717,2409.3642,2405.5036,2414.4896,2526.0537
1C,4,2462.3109,2476.3364,2424.2642,2420.454,2426.9972,2461.7322,2447.4619,2444.9464,2444.6549,2471.8323,2566.4693
1C,8,2369.1864,2378.3091,2373.1347,2346.9175,2317.4564,2329.8757,2293.1896,2282.1326,2287.4106,2348.2039,2444.0839
1C,3,2073.8693,2057.9791,2011.8352,2022.4569,2039.1201,2070.4603,2051.6969,2075.0834,2078.2765,2127.1975,2231.9666
1C,1,2028.3843,2051.9131,2029.9977,2039.811,2036.3983,2070.3174,2067.9744,2091.0333,2114.7446,2160.2618,2244.5875
1C,3,2360.7229,2390.9119,2289.0917,2300.5771,2339.4538,2369.4684,2335.6718,2351.5383,2353.6601,2399.0787,2486.9467
1C,8,2487.9166,2505.6732,2453.5937,2396.765,2365.7298,2300.3053,2255.2929,2242.1378,2243.1499,2278.5843,2387.6104
1C,4,2069.5732,2047.3908,2039.426,2010.5854,2015.6917,2028.4194,2013.1244,2014.2702,2020.3981,2060.5919,2138.988
1C,9,2615.0569,2655.619,2546.9511,2506.7537,2530.3039,2532.0037,2482.4554,2500.2491,2481.8463,2509.6985,2590.669
1C,7,2362.8918,2363.1323,2354.2321,2299.4492,2292.0472,2293.6186,2290.7957,2294.8961,2292.8682,2336.8407,2412.5428
1C,7,2201.9168,2210.9145,2170.8258,2153.6421,2157.8383,2177.26,2139.4303,2153.081,2153.4272,2201.178,2286.1987
1C,4,2467.603,2501.8298,2425.3104,2404.2786,2425.5155,2441.3959,2422.363,2428.9054,2444.7007,2481.661,2569.6392
1C,5,2409.128,2438.3118,2357.8887,2350.4828,2337.659,2360.0748,2353.3369,2382.3169,2384.2402,2425.9791,2508.6443
1C,4,2381.0106,2403.7431,2324.5534,2313.0999,2325.4038,2344.7352,2329.4584,2343.2384,2341.5374,2384.957,2499.0001
1C,4,2462.2706,2453.3288,2417.1585,2408.363,2422.785,2427.8205,2444.2173,2440.3196,2464.9611,2483.2296,2541.3545
1C,3,2215.862,2200.4811,2144.7599,2148.5937,2166.9878,2214.5155,2170.2768,2187.6493,2221.8354,2231.1747,2283.7607
1C,8,2420.2115,2412.4776,2372.3977,2344.6742,2334.5414,2332.4415,2314.9498,2294.7577,2322.1048,2353.0291,2417.6147
1C,9,2394.7069,2430.0515,2349.7518,2317.1076,2318.8588,2308.6663,2247.4999,2247.859,2242.9193,2269.7209,2350.9371
1C,4,2288.2247,2290.0016,2222.8351,2198.0852,2234.0677,2279.0584,2296.96,2312.581,2311.7295,2338.6985,2436.244
1C,4,2035.909,2024.6064,2012.0162,1980.8455,1994.6058,2005.8656,2003.3902,2008.4128,2024.8442,2065.3799,2171.406
1C,9,2590.1323,2572.3234,2546.6801,2518.2195,2520.1054,2507.3502,2468.7754,2452.5975,2451.8541,2492.5918,2589.2008
1C,4,1989.9025,2019.0581,1953.5488,1929.3188,1952.6147,1990.2487,2002.2162,2028.4691,2028.2893,2053.2987,2159.3416
1C,7,2429.0415,2409.3835,2352.0724,2329.5049,2334.1874,2360.4399,2327.9822,2331.331,2329.8813,2386.7103,2455.4766
1C,4,2345.7843,2354.2613,2298.9104,2292.0984,2308.293,2334.2071,2329.8121,2352.2471,2366.3636,2418.7382,2504.1253
1C,8,2506.0837,2513.656,2517.2477,2511.4534,2510.4389,2530.2069,2498.2345,2491.6693,2495.8524,2521.9458,2614.9815
1C,3,2282.3637,2250.3573,2220.2062,2224.9562,2241.7635,2285.075,2292.2912,2317.6343,2323.6919,2362.0381,2456.814
