Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,11,4338.9478,4170.4527,4185.5813,3963.3739,3284.5944,3483.2821,3423.0044,3132.0636,3003.4509,2951.1621,2902.8367
1C,10,2672.2817,2420.9676,2455.9294,2626.0572,2667.1628,2693.3376,2586.3797,2441.7985,2407.7466,2407.3377,2486.1147
1C,2,2374.7606,2210.1682,2225.9199,2230.045,2412.412,2524.3032,2513.6327,2600.9186,2692.5346,2757.7536,2585.1402
1C,6,1862.6331,1826.736,1858.6904,1811.4295,1701.7199,1674.2162,1759.6394,1740.1925,1753.459,1867.1757,2003.1328
1C,5,1861.8126,1812.8557,1807.5031,1897.6389,1802.509,1961.4751,2002.8776,2097.3285,2008.353,1954.6724,1927.7266
1C,10,2746.7018,2749.978,2687.0694,2699.8738,2593.513,2772.839,2827.3564,2766.1089,2658.1624,2548.4431,2560.5864
1C,3,1348.9681,1339.2239,1309.4295,1356.2066,1410.1917,1536.8747,1554.2104,1530.1255,1550.0763,1667.3271,1914.1511
1C,11,2933.07,2912.0168,3044.2722,3185.5084,3352.0538,3508.8787,3210.4528,2835.2037,2802.3819,2807.5072,2667.2655
1C,8,1785.4291,1755.4655,1826.9084,1806.3392,1782.9791,1752.7245,1803.3635,1722.8748,1860.5668,1983.5698,2052.7732
1C,3,2959.8414,2831.7912,2622.2031,2623.2881,2699.2034,2763.4529,2883.2358,2737.5147,2912.9614,2813.565,2905.546
1C,3,2694.7827,2593.9652,2561.7124,2604.4866,2711.0763,2866.5009,2857.3614,2811.6321,2634.0229,2695.537,2616.7529
1C,4,2774.2217,2595.2335,2734.1027,2543.1987,2545.7224,2591.316,2786.6408,2666.8547,2710.3472,2708.2714,2835.531
1C,4,1632.0682,1597.6882,1492.5383,1461.041,1548.6391,1602.4702,1837.9673,1828.9404,1810.4347,1821.6098,1879.8165
1C,3,2455.8833,2467.1491,2365.2289,2424.9353,2569.9221,2701.4787,2961.2675,2963.1682,2922.4389,2930.7183,2765.7101
1C,8,2619.0359,2602.9793,2541.7215,2580.672,2626.3184,2696.9617,2645.8305,2483.3049,2594.9861,2506.4075,2597.6372
1C,7,1842.7393,1753.1534,1807.6373,1663.7406,1645.6227,1598.8991,1545.3293,1588.9144,1718.4579,1754.2139,1869.4082
1C,6,2225.3298,2344.4883,2314.6801,2368.5792,2267.5721,2120.4428,2167.9817,2220.2785,2300.7419,2516.3922,2475.7792
1C,8,2749.2034,2703.2871,2744.9378,2811.6195,2815.0551,2782.7766,2917.342,2643.2558,2685.0622,2820.0842,2836.3384
1C,3,2594.9305,2545.7658,2368.4417,2392.8697,2441.5524,2558.5234,2804.2411,2600.438,2716.0005,2793.7077,2756.4098
