Chem,Intercept,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,B61,B62,B63,B64,B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83,B84,B85,B86,B87,B88,B89,B90,B91,B92,B93,B94,B95,B96,B97,B98,B99,B100,B101,B102,B103,B104,B105,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123,B124,B125,B126,B127,B128,B129,B130,B131,B132,B133,B134,B135,B136,B137,B138,B139,B140,B141,B142,B143,B144,B145,B146,B147,B148,B149,B150,B151,B152,B153,B154,B155,B156,B157,B158,B159,B160,B161,B162,B163,B164,B165,B166,B167,B168,B169,B170,B171,B172,B173,B174,B175,B176,B177,B178,B179,B180,B181,B182,B183,B184,B185,B186,B187,B188,B189,B190,B191,B192,B193,B194,B195,B196,B197,B198,B199,B200,B201,B202,B203,B204,B205,B206,B207,B208,B209,B210,B211,B212,B213,B214
1C,34559.59338907391,0,0,0,0,0,0,0,0,70164.71031504276,62227.88124749504,72530.92733344265,13528.802647729372,-20663.847275995264,-29111.19580963459,-12423.066429784898,1955.6119079479897,-47552.65790587848,-53731.22556409363,-47152.90542487012,-2660.180451988048,32153.317250645963,-28296.97221567419,13261.981854397302,8687.004782625634,32793.13176152749,18640.66695065553,-35996.41597086245,-39151.191733589985,-58707.385505783495,-80356.61170296792,-40080.51868800912,-10717.429492912195,-47264.18663068269,22474.82170050187,-50812.35340310816,2763.8783097247347,55256.801170083156,-14934.340618506922,490.0568829312935,9653.319682739648,88611.3866124601,47432.19069759137,22518.080296888777,53413.12345800716,9882.922146596717,32553.154039738896,-3339.4296906317586,74569.37030120195,3149.294141356055,57216.53539279188,32627.093628611543,19528.59501679859,16487.769662838735,21136.211095123737,-23228.351840892406,-20701.63112750903,29450.895536494398,-11812.625447398095,-22218.687934575646,59096.73761982747,26083.75707773062,-8107.338738403828,21215.49444082065,11519.642002348564,48565.04846463427,-58913.453000720416,-63636.493611917744,-29973.103956864245,-40385.543074215995,-41688.18424590771,-42801.75273568642,28009.483420200573,-27405.86761695202,76340.58601055724,37914.65060402782,15708.695100551919,131538.16048613546,126009.09185888845,-103332.23620086488,-22150.55061257231,-115956.93274049672,-3949.252004537992,-129244.03411728783,-35603.96320266717,45763.219230100054,-12173.878750193484,-108958.0340787326,48410.59186000376,-82113.82335606775,35903.833280738254,-29221.392703071775,9187.440505529632,-52801.72457468938,-51839.17476691382,29438.259495173843,15832.497626747654,56173.39337229475,99884.67182981428,66623.58562757459,-17613.777728712714,-12822.802235593686,-17.697007300679545,97292.73540762039,38757.87192604329,-360.0900754097318,-57484.9467012257,-112645.33826886419,-8778.803681953319,54530.84874356808,161967.7171463153,-139971.3318945471,84017.47100236174,110037.70394823342,-42895.94950875724,79093.78473266936,33996.72981716829,-66498.9072719911,18166.68350791238,6984.644708406289,11574.007643624547,55494.08477670612,-92506.73359221026,-108314.91859247822,-53244.69212088199,-212212.43870588084,-63098.10061044245,-110999.11979841389,-210263.0247740782,-70487.75285374424,-59250.20514431454,-68432.90580384021,-34176.28409554002,-47406.47056942404,-56555.30042394395,97719.60009346293,37397.37663621953,70628.03807952319,53783.34204275337,99213.96957190621,96218.9390101313,5802.81040835018,12125.752153026084,36740.58951224791,8943.705902778995,-6758.098209610892,-66513.73556159156,-19251.72903475925,-155930.04951596068,147769.3255633906,77346.83854928851,-34630.053435776535,-15035.88274094156,-168144.02448004833,-84539.2298895029,-37034.54946177735,-4590.038402682397,47046.192855207155,73491.81203698208,121230.21492020441,10329.83095194562,183251.61355695955,143674.24615787753,59631.499287533064,116357.97137269466,51822.777779132855,48383.58470008376,-12548.74747631524,-13374.104272188297,-139485.75853793646,-114420.58014755818,7738.619277397906,50040.58614435394,-51060.77100786022,33383.27656194732,114969.62435576036,-34799.177690716715,-65602.2538660363,-17054.6869010045,43299.80270388261,-35014.69155651021,-30054.329668472285,-5217.651313685414,-65344.0899424965,-68949.1551025863,-47090.92392580862,-132098.4966646768,-44678.89352102125,27089.967206965583,105209.81309044812,38004.08675902848,215399.5824947552,116935.83861850096,0,0,0,0,0,0,0,0,0,0,0,0,0,21853.316586181623,-16302.430430300154,-175003.13500085683,57144.2681197596,-55053.8894163637,-99431.3283298557,-55464.918833178344,15335.45005334424,-8150.573741025309,7281.198840554531,-33327.2714755096,-128187.1047752061,-42520.377679955884,17531.034559611562,-13744.900974475246,9074.164771904778,-19530.178695546027,2076.2264064250553,37564.13741276981,-25227.03202693086,-17655.038109241377,-19419.90027619255,-31871.73760882709,-60526.00542120575,42267.69893772561,31668.484980756555,-45767.6984967793,30937.012654641057,-9554.103137303451,35396.4790113623,-29943.045549434624,128019.34650560663,-6328.780573886015,46229.414022103614,63813.97326184297,124655.08833100865,31374.987927024536,-14111.073737444645,70547.14572940994,65410.278941621145,-37427.15109822774,42041.224856157576,-43331.43662288417,7165.917259935639,6448.640127481409,-46188.48720882831,5824.920658419818,-46500.636201458496,-32766.225442274168,-46766.47558686104,-28752.53332914301,8098.655200855536,16366.212570534872,-80180.37890910795,58230.04635967777,100714.70564391537,103999.12910490265,77098.55510558661,81958.30267702258,15408.236857998974,52001.74455008297,-29692.959924591483,-45733.65277415071,-106862.84324555453,-225831.39067331556,-215232.69455103905,-86943.6068688254,-43580.43093516272,-80721.64230984746,-185852.4072861578,-99203.85272847327,-80016.08492991433,15831.171791893208,-60905.27009796896,96662.85381549895,5170.139999682985,40556.37088507067,198151.3707803541,34375.51774641501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13714.326401544138,-74926.88635960821,-61672.55833003145,-54921.26678139257,-72811.76371422915,-13681.999920824624,-17124.793000571073,-20325.706240975283,121298.33362611184,77645.35808018775,67744.95254671971,14643.468724923716,51533.68076840362,10819.105921490469,-5515.7823243156145,21108.524304878094,-11900.79785002308,-85935.41748866608,-38652.896511518455,-21403.908550712615,5851.641808399784,-56561.19141613312,-82531.39036468511,-69484.37619970003,-11291.418826361813,-121273.92454796306,-132690.10366701186,-52933.58299766185,-108233.71577141392,-108833.08161352732,31362.254968811787,28745.829748882166,-50903.37260173015,-31798.668639786745,4097.274359872034,238.72215238349426,22972.628361854426,-68999.706352377,-31439.001899480183,68069.42237920099,9286.694438337046,-71767.21300947067,53574.184974560114,159529.74204999118,215027.0677747145,172549.94552001508,43357.844372724794,103735.02617415572,67096.83262479563,171067.19137216875,196417.89282028395,127228.546040329,91257.24621773418,-10916.350032827682,38453.33314467023,43934.518909209204,5095.891361611574,-106702.44639944103,-158351.0765179576,-86893.50263939194,198162.34819682722,99108.20217331115,52528.74075648422,16019.755107917257,137187.84280553143,-126814.41108137462,-132371.76736294953,19937.966014624344,-31123.92244010162,-32680.537350658607,-75807.63273706648,48586.85681016801,63233.11840101725,-17170.675844955767,-63257.66947055189,41179.13981856528,-120408.84210794666,-149199.5155589647,-135989.1556371457,-143944.6336626223,-32451.90489695413,-53620.52735633657,9541.231698664815,-18913.97457757056,88242.14175344676,-27101.157486462173,74595.91442117006,105402.69412382547,148611.58321901175,102553.30668303203,0,0,0,0,0,0,0,0,0
Co,6473.47886353672,0,0,0,0,0,0,0,0,17761.371782258753,14165.531326552504,6129.174904467567,5411.523201188296,-7477.693858609222,-2812.4890195135545,-2129.617668566044,2752.084045465586,521.0309456095093,-6123.311432961361,-1350.9128704746515,2978.446076636179,3433.593679722975,764.4517473100578,-374.4274381401789,1662.302214708342,-1665.8153172156342,-253.1697487346601,-9288.124976721134,-3613.8423876997235,-9906.008394309916,-13761.083432847194,-775.7331203838485,6286.652490791938,8779.310024058208,1453.7210624712288,11184.698961753564,15626.472055723665,10489.876868573943,6514.94024236756,-11028.83464573885,-3338.526893373598,1082.073180775463,4824.182368075029,-10380.319739661938,-1262.8135631913822,-3375.855488315543,-10237.306144688348,-7085.280724687049,-8410.773865945157,-9719.82938747749,1608.971833632553,-10347.531451361034,1332.8232886250914,947.2312139103185,1987.490101776881,5777.295985330033,3647.3397401298585,15657.918012527385,12707.982422271529,-7964.481525763698,23758.174093808826,7681.7080813170805,-8896.718738638987,-18378.23908493423,-15021.153882826971,10782.89579564961,5537.268606685627,2897.3203928509133,4851.057669763787,-2781.500248423746,-5249.927272846094,-2028.2705681517805,761.4182545491894,1976.7844100570937,4111.385345468935,-17366.71259325057,-33306.354304222055,-24947.918615816878,-3867.9228436803332,2.7013041215306295,-10563.214519033272,-11448.269239709281,4646.1226847167445,-2026.9925592406394,6765.9030594158685,1914.3212421268274,9665.407688720898,847.1197362027037,18999.971575641517,2265.7643164452293,-366.7226756847959,5683.965752427999,3605.796494657642,10628.400513058534,3137.782357506469,17904.826129864472,11235.311723572244,-5137.488211806627,13712.961397376443,-11685.713144014151,-8500.60084455395,9282.777772949305,9167.476829351826,14920.338009123272,8027.350893189614,-3065.256788442531,-17265.18490819566,1858.6879773375629,5585.639749449868,9924.775098400969,1968.1084705954008,7864.961713287778,-18111.16387897397,4389.681218379028,11047.087380413632,11062.657180156612,19052.428970448396,-18330.402897691194,9697.022615499798,-1082.7283486153763,2894.580891031187,5050.90994688439,14333.382129504134,-12675.25816200998,-8355.273996395315,-14541.822993444717,-18088.287429852917,10344.531716898766,-19662.64575165757,-21731.186201179033,-6361.747701036586,-25928.09748854921,-9468.61920879525,-14464.263691998505,-7329.637545198531,1060.3779969551913,4791.7909194315025,-4641.932680044043,6695.956300940948,-510.54262621596484,9110.610842549317,9702.836001499738,1740.5206796446637,-10849.72508114523,18975.421745626976,-3361.6759004470687,-1616.866243593107,-5827.02519608815,-8671.435227304155,-7393.798719475197,-29685.17845132382,-3425.790198523453,2585.4274863946966,3624.6047418340568,-13327.199197249864,-2594.2686297642217,13942.611547779139,-3146.5595947130105,5843.952728846604,16575.816830787124,22584.611789478044,3558.732382611952,25258.630940240015,21213.020555014784,13363.310115798608,-15081.698206891964,614.4079037131995,-10902.038764738862,-12871.229654579016,-9698.762684322977,-5547.555130147745,-15103.491211536908,763.8332204571124,6227.539609934421,-17756.440758051594,-34.55613187213412,-26609.68466577756,1530.9249659669388,-472.5536695045119,6516.4827928341065,2460.4825406026666,-7154.834291911692,-244.23519030835948,-7775.994674883743,-2559.868170630918,-7010.297299937095,7417.515266331633,-6535.5502157752635,10204.074725092969,16128.410380556006,23422.164523011208,8298.33948244972,13319.82972892858,0,0,0,0,0,0,0,0,0,0,0,0,0,2506.251469637942,-41970.85385194127,-12274.618432961139,-5753.706013136678,689.8953888691243,11387.845819119977,9746.704036191179,2697.123800743889,6931.277839181005,-7469.642129375993,-13928.294907048175,-9973.46166894845,8337.92801558673,-5584.344506826746,1471.4210672812883,-11452.545189017266,-15811.460787161446,-2100.835861191282,-11672.627094303525,-4973.989374140962,-23715.28783187834,-1135.2743525271683,-3928.131411655314,-1260.9440332551667,-1301.3758364463129,3625.7093356690393,-3228.534449032821,9159.730135109885,15720.414153067426,2029.8665576669018,170.64986895938586,3043.3478311033045,2348.063273057245,13682.162292601688,5970.356037755642,9011.497349212132,2351.9842846776824,4071.990965951487,10194.267873849896,676.3450917501726,-6617.204357003666,8725.402281078417,6030.439921060747,-3313.0127304663065,628.4680952040923,-7484.83642622577,4004.245810817333,2187.6217385411514,-13613.715793124251,-9797.01869552327,-11874.14908866635,-10527.477910232557,-10650.060697348234,-5463.167850992239,11917.665905045165,10154.858644420812,20012.70317781045,12396.033941577976,8178.163753167816,5884.6287444906975,6110.787387826801,-16530.059177096515,-17171.758296876582,-26080.513386001112,-28921.607863199766,-22808.78122870052,-2154.063126129977,13432.3286616757,-3912.0329801657335,-802.5976299038895,-6595.630359455161,8964.605767169247,-5262.159027954938,3306.322900931815,19709.553089773508,14164.773052511286,14597.210112477367,-8643.715895555346,23987.940264503737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2344.6272869449563,3032.2347408862265,294.7537312057109,-12084.719656716672,-5139.108470250887,-468.1269861559724,25738.870454253283,10065.676148072951,4939.730214973351,8379.360315153242,-7137.325238352891,-3550.128543300096,4178.593960253179,5976.695672403537,-8207.091603387153,-4012.725434756722,3127.781844989566,-7358.497067593488,-5125.579439379461,-3610.1658334432645,-2940.5667944758625,-11488.237858495018,-15291.456942821755,-16290.912051259282,-30001.7272854274,-17781.796409644114,-14822.310906376524,-24387.309104290525,-9131.299177034578,-16618.81100939407,-10596.609209931537,-7006.188717282679,-15460.456022625143,-4901.853029329598,-14943.184817193269,-5329.900552298527,-3790.9011676058376,6141.173739610759,-1215.7938069731936,7093.0395585013075,18205.024963059368,-1244.3713798879708,11913.036288137837,6653.37334864696,22492.308922736123,28529.885833102107,11594.788959708309,14954.700020201773,17233.332299469344,12802.420153638359,28165.915730982084,21917.194746054327,20579.734734385962,-3528.4722529502696,1716.201802815741,-2939.662250296959,-7443.7024246916535,-13485.87590944869,-34746.80284099138,-4915.673244237464,16268.47056548081,20335.59264582539,17046.173208637327,7582.046122241421,6495.080400217392,3766.429699341078,-2834.2992778037733,1923.6807778635402,-18044.380752458103,14415.014186892824,-3455.9039787923602,-5089.670675257634,13764.44480035311,-16878.88745495081,7462.937714661442,599.1462873508074,-2100.3446128477954,-12611.150685058634,-14730.217728057054,-495.5568604538386,2792.4371745514036,-12543.868268322365,-3136.755890047191,13511.74548145245,-5336.2595679319265,11508.524627487357,5678.097385366232,-1548.6394916519318,2429.2265583965122,18173.561072754044,0,0,0,0,0,0,0,0,0
Cr,-913.2470861408646,0,0,0,0,0,0,0,0,10706.63214927332,9122.070499971443,2789.0703212135504,-11557.698778859423,-6108.209610361137,-9877.897499211616,-1787.0288842447937,-2337.231179641733,-10296.564885393816,-6355.235127538704,-487.39705441864965,1044.351949475477,3789.4652453077456,6741.25873647217,11919.48862361304,6804.309617658254,1527.1921358105046,166.75587154527275,-1265.0851107559467,-7562.267212410537,-2899.983472870095,-1940.8546366582887,318.76425054338023,2923.1121850529958,4674.292286010992,16858.8517822464,88.43411120215785,-882.9083416708016,3133.821953236292,3921.6454590521507,4650.912518945613,6038.310045924008,3770.8485886108847,6213.800417532179,5607.726898969751,-951.7196358936933,5967.490831438715,1725.7948741222651,2102.28853495885,-246.18398191619318,-412.42766424019976,-3825.3100626971013,-6453.174494833711,-1227.224262378668,-7422.503083250694,-7081.725686004091,-5394.902049219777,4315.332807618874,11205.024298856111,12601.323737727505,26000.34252605519,1648.793251531444,-1760.3582404377541,-6356.851470140536,-19140.336937868997,-21926.769451765995,-6900.414670606339,-2448.2967140424844,-4338.634162664984,6914.50151624397,8810.856821446947,8321.83428858652,-10222.680165823105,-5672.713818964501,-17265.87015784932,-17027.783077928947,-16067.104010328265,7954.288314277119,-8389.605074942916,3696.987040941481,-9252.706309043951,944.1641399245607,767.3144471504289,10612.917498416451,10097.783698067877,11557.40168805524,13881.368865417693,10947.097915843939,15028.927028429925,756.3347027794252,794.5149381131072,7385.888442143624,9290.743093915984,8925.95173498189,19231.198969067165,4382.635104287637,3402.2820865185604,-3219.66775013296,1372.3839567943235,-2808.5066662971817,8039.168271853396,-3546.91368671711,-3500.957513326935,-13294.764131474392,-14343.243365761024,-19240.661385445175,19306.220986570603,-5526.278376758544,-2445.8804928885465,-18884.6851456169,-5782.699492823997,16666.574878574884,-23295.076108550475,2672.7655597114535,-12121.236393442547,-32390.15993223421,-12593.61436043891,17950.7315129061,-7002.85035146725,1650.9247570060688,-4855.070060377641,-4801.4824956065,5925.222762354109,4814.93564002182,-15703.910653418805,5873.001550940031,-12545.009617347456,13569.86604697141,-7543.692087672172,-945.2410488570833,2338.825026276134,1593.8748299078766,5193.960096434608,6636.888799176301,10409.889819940592,-147.50986180898974,-219.58823095664997,4825.672546577367,7024.030258347108,-1849.5702112377032,1784.9373584753826,7122.301619960707,4134.349249102803,4079.930606122449,8241.842795338047,-2013.4170578745532,2805.097269484125,6055.766223428047,-14545.669436697257,-11618.959970318914,15969.663130576595,11354.608242490063,-4780.377620811093,-9313.419770334147,-17820.508980020262,-13385.453066508991,-14538.12972422656,-281.4212682216381,-3348.714825656884,10009.329727730063,-6221.664439520691,10721.26506475375,238.66918332443507,-8306.00636960377,4707.637930142864,-14463.112476192242,10470.044431143067,-4330.380804529935,6482.934279333334,4249.752347724813,866.793438483512,-1427.311781177267,-4816.273889375849,11585.294776957273,7556.382022380343,-4068.0405043924957,-6214.6081202325495,9446.543940260322,21.407669093997015,-1676.1579837532224,4853.6868284758875,1423.8455418845347,4043.2123220576423,-16642.738532686995,-4073.567148017865,-8974.125501388757,9052.277450652131,1521.7523551017198,454.0563680994531,-7178.604750877331,9392.22537358386,16851.890744844462,23711.314359986223,32141.610030242635,0,0,0,0,0,0,0,0,0,0,0,0,0,3102.7932318326257,-5656.054830193162,-15572.247671620045,-10603.791347852459,-8747.399625002376,-13030.768310307187,-6440.025754161965,-5471.668391139525,-1565.9458487954728,11679.388146800899,-1044.8815242340725,-13047.971330184399,-3012.1301436371105,2726.316598802419,1795.2016980087863,10764.54966987906,9905.376375020938,8112.144666548678,10035.501543562046,13298.814134247277,13648.835174548482,13769.734504239234,9753.51378412103,8059.574871744524,3965.6826596142655,9695.292824183125,-5526.058959640696,-1858.88740015688,-561.6574181575817,-1027.7549070646185,-8744.242980701207,105.55986175346418,-4531.290662994632,36.471263016519735,-582.3769115010017,-3489.8639221371686,-7696.56769590994,-2380.5844685555708,-6581.034393097902,-5182.1577569140245,659.1508511272275,-7648.343629872565,6857.817411736552,-155.4479315238508,-10725.709446965186,-4917.831649589564,6771.963800497664,6649.624166631195,8317.763700247177,14058.567406840944,15339.991125632876,7755.886036639767,13071.176005211211,5084.781130213836,-3878.0654518822016,-13608.718320022821,-5014.0528535205185,-19309.17556323368,-12301.713351688739,-8283.710716044796,-10329.846551416405,-8242.508190519544,-6246.587091379034,-809.7613345271046,15156.163004523107,10933.704647462415,9113.55771600572,-6510.274254931233,-2522.6966055936878,-9668.250175771484,-1636.7907883122139,760.7498391806668,-7568.345064329711,-12850.399918255449,779.8642728943876,1149.5247902820777,8920.727947219611,4592.326549994583,28786.055482866326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4612.947747000992,4075.479915773205,-7371.655192567501,-10471.391098715276,-11227.695507949084,-6222.320420936501,-9724.83065942535,-6302.910747815568,-2411.147953102895,-8261.769592083629,-142.96190063597854,2135.8735740747857,-2255.531106827684,-9566.255185176185,-708.9506541456162,-9326.800775052267,958.0671056274005,-5203.610212346573,1521.8767196596787,421.10998246477726,-6220.030174902319,6568.557405722802,5481.3091273173495,6390.551794749084,6378.656986893786,6059.470936815655,13611.122201905942,3372.909396033506,765.4283424113545,1789.9987791587637,2686.5955091708524,-4973.031776790354,-12851.485097168914,-2444.316765528973,-7293.917695316727,-1682.3627293327716,-11870.827321079403,755.9959297456876,-15359.029437492665,-9923.215603544004,-17053.253196638398,-17952.150375692694,-3515.4048516823013,-21018.944966161427,-5857.1310865307405,-13337.250729630849,-4830.124149530131,408.7180158573151,-8780.266061847276,5455.882433434774,-1146.1134326534484,5661.922770013734,-4236.488929560784,5173.067749189008,24667.678938165038,24166.07210399422,27926.85274880425,27010.201949533293,12407.93943544817,5066.28223454547,3382.729544430316,-5873.665005276806,-7189.648684056516,-4538.359662253947,5174.040922105704,10583.231689800252,12296.909326009152,3495.1163252627234,2358.829407749003,-4122.948558336003,-4696.9766894442155,8952.87668929189,16085.908728711249,3681.758927663668,4676.518959651093,6196.141513381965,1176.0776978445604,-5023.569184929514,-4113.459448405049,-5457.601947191883,5900.212795192622,-10077.682240823855,21299.999121982964,-12857.535972912303,12624.304407326099,-6421.580236641608,206.64972225805587,-5479.869221198556,-3198.9462656361784,-18629.054073940526,0,0,0,0,0,0,0,0,0
Cu,130627.27240250014,0,0,0,0,0,0,0,0,-188655.27804842775,-103415.08741949838,-185228.54344889204,-146001.9445024185,-76855.3824470201,13391.742724295626,-64627.908237994954,5891.658940203679,76784.50944277785,83878.0799297934,161179.58051247484,119353.86722366404,112217.3394205068,102959.40547834868,99916.29176929328,83932.16938425548,108665.02210964118,19145.32969771723,-91666.1324509701,-83427.61585540065,-135319.1882252847,-161197.9395609509,-201492.80083173583,-131735.32170072646,-175482.56746692472,-137654.2903348656,-54468.576024453556,-60054.29889842133,21875.985164217866,108481.89243493932,-10641.832313658146,69543.32782728384,109728.37179423934,64918.407299411614,49412.501986183284,29871.129312621542,44957.90481097874,24374.04995730273,-55403.99158377491,79561.16583678102,16301.318165174209,529.202462339411,52295.18898352718,-34583.83033659113,14661.789933728389,26732.210950400236,47089.85668091333,73131.99901488968,48270.858555316125,75722.24080839987,63537.33027749276,71137.27123946688,-19055.996430271993,-40615.07611952821,-79293.37654778898,-42696.986711922225,-11341.418594965064,109124.75620602943,-36932.697231125785,55143.868870758364,8983.85883799416,19154.452633681594,22318.503269487588,-243111.65943728478,-44851.37609310857,-52947.7524479023,-56305.54052312425,-2694.8025992922235,-17411.234163006506,64489.37482680507,85149.17863065335,14700.424716840082,-89429.91236516059,-179846.18709729004,-69860.36302542366,-145975.40539996774,65884.2756194396,156457.12749519423,-41267.081246928625,80108.76931592179,-21548.96475739609,75173.84447130108,-32627.717358429934,26386.4043317997,-78318.89160513198,-14314.971596976635,-221405.3498053492,-141876.9150781048,-59802.55274691631,-126718.2807285133,-168939.77236402754,-191685.86956564905,-142942.8182616236,3133.333597156995,122900.6959917912,44982.51111467452,116204.37873450606,98860.51092801704,-46654.71238270019,273877.50451690366,-113814.47688787151,135692.0673378341,-21010.143499748163,-84943.68796676284,-3310.2412080055547,-151396.36876500945,-54256.4838017046,-19802.056415898813,-92305.7842452501,-318.7450099317875,86216.1019558309,-33799.99717611102,46202.91042920009,44743.1261050862,51248.875034030105,42138.287933279906,84626.2815162936,156708.81396957184,175032.15410558303,223628.83537468925,36971.249645980366,-17599.289364001328,38292.704470598386,-19889.486853396033,136714.1294637537,212808.6993976916,72956.3961686435,12743.433717723594,-14001.790792262334,-107950.32600886805,-124739.87922583884,-7847.0937910400835,-61167.937483292895,-249384.86421494902,-178989.66517218147,-251217.66710940225,-152627.3208385462,-44328.46593258082,154528.87912803068,-97226.31784200248,3177.3429480449336,147038.80316757728,126936.30705756607,204802.31299390103,-112445.98808934825,-225855.72512366113,-115815.04891714134,-5355.486059071321,56569.6990715852,-133321.8328369061,-95942.2371205913,-146400.67194892475,-119642.44539269047,-124412.02387078783,-36308.0090626456,-54492.34839764869,124255.90872416523,-60614.20801392055,85814.9307990828,197714.36634543224,304084.7570109399,85626.61455233867,134383.14620884525,105165.41367767045,97288.53612862772,131262.86662846917,87934.96577538455,119034.67536727237,60159.21664751804,33630.25107482866,185619.24999029224,206905.71134642675,15584.375117605445,-139135.7679679045,-4219.4778509530715,-512841.28254386684,-426875.0748404012,261028.1919422286,-243982.042827845,-226902.8254826028,-292059.74979502405,-96396.39723640155,40160.46231816852,-24746.584491248595,0,0,0,0,0,0,0,0,0,0,0,0,0,-166140.8618752712,144440.3017442547,182094.92543024715,-5170.1740694255595,368398.8000977433,247410.6520678168,303894.83337011444,232205.04846284405,-7116.51038275168,69154.3294027934,-321911.6449380555,-349330.19751974463,-280281.6199477049,-155223.72663864726,-121108.27466329008,-148948.53806756702,-19774.264991978605,-95399.53596476234,-233548.3486886929,-126887.50826634953,-276533.0290631477,12813.906406225755,-212324.67489521747,-186400.5050477558,-54677.760063765265,-92698.22002541093,-128338.19908866257,-62295.87670429842,-62817.293559249534,-88275.45293032721,-119901.35707691447,-876.3151472782737,109322.64691488503,-16763.988058698855,86554.20651402004,-21319.818724602737,99643.28559283055,-24977.146262170114,85312.31791328946,-104293.1324925216,-99549.66188412253,-28776.193925579268,25271.506957009657,81067.66704309038,-118665.76315049162,16943.79269707995,31748.07620528317,16217.899618257228,39904.61038710791,111484.91767069,297617.3707635507,267147.24131116905,174120.93471657042,57000.12879874385,199593.77722321323,211588.00660258342,-24892.792943346452,84193.96398738404,-62819.076232088155,3772.7042379158747,69840.40889089802,59915.57574088679,47819.02354132985,10102.753986534148,95685.11347539183,91225.87204554932,-28357.952560638245,-35311.93127084453,-161672.21260903898,-209845.82054591144,-190754.69571522734,-220058.9950405841,-163926.80704863244,-229175.22553733594,-173275.74626023593,23301.05439921502,-28242.15080906125,-113565.61647348107,79354.04369929372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249035.72081360256,67474.55784801938,-166915.92166465372,-30532.54834686058,-192042.2938937555,-309169.3768599521,-38112.26164089086,169710.65958663446,17942.22348046338,77137.99930288103,177324.20551844896,47705.021049588126,-88064.53651865806,-140005.80145750387,-68045.1695304663,-18469.43175703927,-76441.57818511783,-46572.38518230006,35319.061149937166,-3999.7360026054175,135160.17057496717,16565.6485816061,150864.13516407044,141678.26355360053,74699.9464220455,184520.8312611746,-113182.8732951118,-5326.41814861123,86497.50002575408,35318.057324066875,49959.82914272135,100750.18661588761,71677.13802295791,30803.148838480673,-571.5271587265728,81334.47317611153,208802.41814940821,48438.90536086893,66827.41172245571,95961.62280185558,-120733.002508786,-28295.154539340016,95337.84927143753,-88039.49037649733,75895.47833399872,-115655.12817383192,-115816.71986530763,-33509.12343601875,-29924.671057394655,-35191.15657359316,26496.951948330257,-136637.3421006582,-14484.907817649548,-19072.397146846695,-86297.1170947536,-17174.05454124562,47275.546217986186,19462.458121201456,49328.44757750881,54591.52545657871,65336.98111959572,-10606.805132727688,-96120.07360416876,13352.77823921752,3379.0377695558664,98726.35529928928,73001.97778699623,194573.1802570063,120637.95640883129,-111644.80377875785,-62170.78123088997,206247.4020369914,-132429.4925257701,-33433.90327115675,-11090.225835891466,-55347.89974327342,-115602.77751023849,-36545.63057642992,65531.03907138872,53263.952143750495,55518.99692902624,-15991.78769481759,-71382.08716131399,171728.70488711144,-3790.4808427256066,-352301.2374317105,291351.5065994282,10726.050919815281,-202793.285258651,-89191.27421805836,0,0,0,0,0,0,0,0,0
