Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,7,183.1936,187.2038,194.8269,189.8561,181.3321,181.5523,179.272,185.6594,186.2721,192.6053,203.8994
1C,4,180.4143,176.1212,177.5865,172.3805,175.8385,173.484,177.116,186.1984,192.3247,192.2514,200.0782
1C,5,138.7859,137.2223,136.3061,136.0015,135.425,140.5407,144.3448,150.5102,163.3705,167.4412,174.7172
1C,3,196.8305,198.0799,196.0807,198.4623,201.1732,199.9264,204.5584,203.7391,219.0114,229.1383,245.6424
1C,6,168.3281,166.5725,166.8681,161.5788,157.581,155.4304,156.0985,163.6033,171.686,179.3269,193.9145
1C,6,149.318,144.3466,145.1679,144.1862,144.3359,143.1143,146.1896,147.7572,151.332,153.4809,171.3848
1C,5,175.945,175.9054,176.1569,173.081,172.0607,174.597,178.2607,179.4177,181.9234,182.9259,190.8385
1C,5,215.2726,212.2807,213.6972,211.6669,211.53,214.8012,217.0015,216.3982,222.8177,223.8091,236.7618
1C,1,134.2015,135.508,136.5405,143.528,144.8703,146.0785,153.3259,156.8448,164.3208,176.7854,187.1521
1C,1,164.6006,164.9257,167.0484,168.4212,172.0742,172.2488,169.7768,170.1189,171.5495,176.0457,177.9899
1C,7,192.7253,191.2835,187.4483,184.1257,181.4617,177.4372,176.2096,178.3762,185.8967,194.0037,205.2078
1C,7,167.6098,168.9601,173.1823,170.1264,167.0647,166.0541,165.4495,166.1833,171.4068,178.1356,186.5861
1C,6,220.532,217.5232,218.9054,206.1519,196.9225,189.3311,195.0548,200.376,203.8712,209.9016,224.0563
1C,6,185.0924,183.3235,176.0699,172.8411,168.3409,166.0608,169.7046,167.1768,170.0613,175.7445,181.065
1C,6,213.472,212.2905,209.466,202.291,197.9143,195.8698,196.8115,197.4973,200.8498,200.6218,219.8624
1C,3,190.7801,187.0989,185.6913,186.7489,186.2328,189.7793,191.4689,194.5951,200.9358,216.5376,237.5503
1C,6,202.2083,201.4554,199.4489,193.462,190.4197,187.6769,197.1978,198.0577,204.9923,211.1151,237.6745
1C,1,146.1554,146.3398,150.3448,152.5339,152.4735,148.8641,148.2103,148.9716,152.9959,160.9487,175.5564
1C,2,143.5899,142.5051,145.7649,145.0742,145.4305,145.8885,151.0454,154.0754,164.2518,172.4984,188.525
1C,3,138.9959,139.6916,138.7416,139.7341,143.5676,146.0122,148.6165,156.3568,166.7552,180.6561,201.5643
1C,5,158.196,154.4068,154.6641,153.7738,150.9481,154.9006,154.0688,156.3412,160.4021,165.2357,173.4359
1C,2,148.7831,144.8096,146.3981,151.0084,149.3962,149.9996,153.8769,159.6361,168.9633,179.1345,185.8614
1C,2,119.1565,118.1936,120.2986,120.3065,120.2654,121.9108,124.0466,128.7013,130.2537,134.6354,145.0037
