Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,2,1.1553,1.1542,1.1665,1.1779,1.1915,1.2158,1.2331,1.2715,1.3274,1.3761,1.4445
1C,2,1.126,1.113,1.1325,1.1503,1.1697,1.1987,1.218,1.2606,1.3062,1.3704,1.4379
1C,1,1.1669,1.1703,1.1898,1.2098,1.2303,1.2452,1.2553,1.2907,1.3077,1.3734,1.4539
1C,1,1.1146,1.1265,1.1429,1.1622,1.1781,1.2009,1.1964,1.2309,1.2777,1.3369,1.3844
1C,2,1.0732,1.0691,1.0915,1.1034,1.1138,1.1357,1.1424,1.1819,1.2384,1.3217,1.4148
1C,2,1.1574,1.1554,1.1605,1.1659,1.1754,1.1916,1.2045,1.2309,1.2936,1.3657,1.4396
1C,1,1.1789,1.1831,1.1907,1.2207,1.2396,1.2555,1.2681,1.3017,1.3522,1.4182,1.4829
1C,1,1.1221,1.1336,1.1544,1.1725,1.1956,1.2143,1.2258,1.2634,1.3083,1.361,1.4498
1C,1,1.1613,1.1662,1.1768,1.2031,1.2192,1.2355,1.2545,1.2779,1.3372,1.3849,1.4768
1C,2,1.1648,1.1559,1.1741,1.1807,1.1991,1.211,1.2228,1.2655,1.3057,1.3662,1.4591
1C,1,1.1479,1.1543,1.1658,1.1877,1.2055,1.2209,1.2293,1.2591,1.3161,1.3777,1.4393
1C,1,1.1473,1.1481,1.1504,1.1604,1.1721,1.1868,1.202,1.2324,1.2456,1.3278,1.4195
1C,2,1.1427,1.1416,1.1489,1.1759,1.198,1.2093,1.217,1.2402,1.2889,1.3521,1.4428
1C,2,1.1439,1.1355,1.1677,1.1896,1.2287,1.2581,1.2739,1.3021,1.3599,1.4142,1.4868
1C,1,1.1124,1.1179,1.1343,1.1528,1.1684,1.1907,1.2184,1.2553,1.3107,1.3825,1.4593
1C,1,1.1645,1.1662,1.1712,1.1836,1.1995,1.2109,1.2119,1.2465,1.306,1.3625,1.4193
1C,1,1.1688,1.1694,1.1758,1.1964,1.1994,1.2262,1.2214,1.2475,1.2686,1.3142,1.4007
1C,1,1.1796,1.184,1.2098,1.2301,1.2449,1.2511,1.2659,1.2992,1.3206,1.3594,1.4466
1C,2,1.1694,1.1586,1.1647,1.1847,1.1954,1.2066,1.2202,1.2498,1.2967,1.3523,1.4138
1C,1,1.1064,1.1192,1.1355,1.1456,1.1642,1.182,1.1936,1.2313,1.2966,1.3431,1.4206
1C,1,1.1367,1.1422,1.1556,1.1748,1.2003,1.2206,1.2336,1.2675,1.2636,1.3463,1.4149
1C,1,1.0942,1.1026,1.1154,1.151,1.175,1.1965,1.2098,1.2425,1.2868,1.3429,1.4296
1C,1,1.1216,1.1275,1.1369,1.1623,1.1873,1.2102,1.2305,1.2551,1.3147,1.389,1.4552
1C,1,1.1426,1.1482,1.1627,1.1763,1.1908,1.1973,1.2129,1.2559,1.3141,1.3783,1.4679
1C,1,1.1386,1.1402,1.1596,1.176,1.194,1.2167,1.227,1.2554,1.307,1.3804,1.4462
1C,1,1.1461,1.147,1.1678,1.1888,1.2091,1.2253,1.2342,1.2677,1.3162,1.3719,1.4632
1C,1,1.1587,1.1602,1.1773,1.1873,1.2082,1.2238,1.2387,1.2701,1.3161,1.3645,1.43
1C,1,1.1003,1.107,1.1241,1.1446,1.1628,1.1808,1.1887,1.225,1.246,1.3225,1.4025
1C,1,1.152,1.1608,1.1702,1.1944,1.2162,1.2334,1.2404,1.2704,1.3132,1.3565,1.4187
1C,2,1.1876,1.1779,1.1913,1.1964,1.2005,1.2263,1.2244,1.2686,1.2681,1.3648,1.4258
1C,1,1.1042,1.1123,1.1267,1.165,1.1861,1.2031,1.2199,1.2425,1.3063,1.3698,1.4323
1C,2,1.1112,1.1076,1.1262,1.1498,1.1601,1.1755,1.1955,1.2339,1.2342,1.3324,1.4085
1C,1,1.1296,1.1307,1.1527,1.1832,1.2038,1.2228,1.2313,1.2603,1.3112,1.3534,1.4116
1C,1,1.1417,1.1452,1.1612,1.1849,1.2045,1.2373,1.2542,1.2844,1.3414,1.3883,1.4439
1C,1,1.1025,1.1071,1.1171,1.1302,1.1482,1.1835,1.1976,1.2348,1.2753,1.3449,1.4335
1C,2,1.1715,1.1704,1.1896,1.1963,1.2086,1.2257,1.2512,1.2886,1.3235,1.4038,1.4859
1C,1,1.1168,1.1263,1.1403,1.1726,1.1957,1.2146,1.2322,1.2665,1.3116,1.3875,1.477
1C,1,1.1321,1.1394,1.1444,1.1679,1.1938,1.2232,1.242,1.2824,1.3269,1.4032,1.4719
1C,2,1.1407,1.139,1.1566,1.1813,1.1999,1.2206,1.2348,1.2772,1.2885,1.3675,1.4359
1C,2,1.1418,1.1392,1.1544,1.1794,1.1962,1.2017,1.2095,1.233,1.2486,1.3229,1.4139
1C,2,1.1668,1.1651,1.1761,1.185,1.2023,1.2266,1.2363,1.2727,1.3256,1.3955,1.4691
1C,1,1.1255,1.1278,1.1459,1.1676,1.1865,1.2092,1.2227,1.2605,1.2668,1.3668,1.4476
1C,1,1.1386,1.1436,1.1595,1.176,1.1902,1.2019,1.2148,1.2531,1.3129,1.3562,1.4022
1C,2,1.1403,1.1373,1.1492,1.1696,1.181,1.2093,1.2285,1.2607,1.3184,1.3638,1.4428
1C,1,1.0966,1.1003,1.1161,1.1327,1.1612,1.1846,1.2004,1.2366,1.2995,1.3388,1.4208
1C,1,1.1766,1.1815,1.1919,1.2091,1.2167,1.2273,1.2331,1.2579,1.2782,1.3387,1.4318
1C,1,1.1647,1.1707,1.1851,1.2077,1.2207,1.2377,1.2462,1.2717,1.3147,1.3826,1.4604
1C,1,1.1135,1.1187,1.1303,1.1499,1.172,1.1947,1.2137,1.2384,1.262,1.3429,1.4495
1C,2,1.1579,1.1538,1.1696,1.1849,1.1976,1.2123,1.2202,1.2385,1.2774,1.3162,1.3707
1C,1,1.1516,1.1539,1.1581,1.176,1.1914,1.2019,1.2273,1.2586,1.3042,1.3569,1.4406
1C,2,1.1922,1.1877,1.203,1.2224,1.236,1.2443,1.2507,1.2754,1.3195,1.3699,1.4234
1C,1,1.1497,1.1579,1.1657,1.1869,1.2042,1.2202,1.2338,1.2732,1.2997,1.3764,1.4564
1C,1,1.1904,1.191,1.2036,1.2193,1.2373,1.259,1.2752,1.2976,1.3417,1.389,1.4642
1C,1,1.1304,1.1314,1.1467,1.1646,1.1849,1.2039,1.2097,1.256,1.3199,1.3886,1.4617
1C,1,1.1363,1.1425,1.1494,1.1669,1.1954,1.2143,1.2286,1.2577,1.3088,1.3736,1.461
1C,2,1.1127,1.1102,1.1237,1.1356,1.1578,1.1898,1.2065,1.2476,1.2816,1.3385,1.4188
1C,1,1.1816,1.1954,1.1922,1.2183,1.2328,1.2435,1.251,1.2715,1.3244,1.3705,1.4647
1C,1,1.1674,1.1711,1.1875,1.2074,1.2318,1.252,1.26,1.2921,1.36,1.4152,1.4836
1C,1,1.0993,1.1081,1.1224,1.1411,1.1596,1.1713,1.1878,1.2194,1.2663,1.3277,1.4296
1C,1,1.1449,1.1482,1.1631,1.1791,1.202,1.2172,1.2314,1.2735,1.3063,1.3535,1.4375
1C,2,1.1948,1.1919,1.2047,1.2238,1.2442,1.2621,1.2842,1.3131,1.3655,1.4241,1.4923
1C,1,1.1607,1.1638,1.1771,1.2009,1.2216,1.2447,1.258,1.282,1.3169,1.3543,1.4236
1C,1,1.128,1.1283,1.1493,1.1661,1.1806,1.1967,1.2144,1.2474,1.2978,1.3684,1.4399
1C,1,1.1253,1.132,1.149,1.1581,1.1857,1.2105,1.2255,1.2559,1.2925,1.3536,1.435
1C,1,1.1138,1.118,1.147,1.1771,1.2021,1.218,1.2302,1.2578,1.3054,1.3553,1.4184
1C,1,1.1226,1.1281,1.147,1.167,1.1868,1.2008,1.2156,1.246,1.2744,1.3491,1.4504
1C,1,1.1325,1.1401,1.1531,1.1737,1.2006,1.2175,1.2302,1.2606,1.3066,1.3597,1.4333
1C,1,1.142,1.1441,1.1642,1.1855,1.1998,1.2101,1.2212,1.2526,1.3066,1.3721,1.4586
1C,1,1.1433,1.1514,1.1649,1.1721,1.1863,1.2035,1.2184,1.2586,1.3138,1.3744,1.4556
1C,2,1.1655,1.1642,1.177,1.1918,1.2182,1.2325,1.2436,1.2758,1.3081,1.3509,1.4216
1C,1,1.1259,1.1318,1.1389,1.1571,1.1717,1.1855,1.2124,1.2466,1.2638,1.3587,1.4227
1C,2,1.1468,1.1414,1.1468,1.161,1.1792,1.2063,1.2175,1.2518,1.2506,1.3198,1.3995
1C,1,1.0912,1.108,1.116,1.1301,1.1462,1.1719,1.1853,1.2218,1.2459,1.3054,1.3963
1C,1,1.1144,1.1145,1.133,1.1581,1.1933,1.2112,1.2218,1.2447,1.2663,1.3153,1.3781
1C,1,1.155,1.1637,1.1804,1.2093,1.2254,1.2373,1.2486,1.2865,1.3514,1.4041,1.4882
1C,2,1.1898,1.1803,1.1932,1.2131,1.2222,1.2352,1.2493,1.2707,1.304,1.3719,1.4608
1C,2,1.1285,1.1251,1.1467,1.1707,1.1922,1.2088,1.2269,1.2601,1.3074,1.3662,1.4279
1C,2,1.1978,1.1949,1.2133,1.2216,1.2355,1.2486,1.2645,1.3088,1.347,1.4072,1.4856
1C,1,1.095,1.0993,1.1227,1.1486,1.1756,1.2041,1.2204,1.2538,1.298,1.3429,1.4387
1C,2,1.1724,1.1644,1.1723,1.1746,1.1799,1.1916,1.1942,1.2172,1.2752,1.3279,1.3985
1C,2,1.098,1.0961,1.1116,1.124,1.1359,1.1564,1.1704,1.1974,1.2423,1.3075,1.3874
1C,1,1.1442,1.1449,1.153,1.1696,1.1704,1.1915,1.198,1.2269,1.264,1.334,1.3759
1C,1,1.1136,1.1182,1.1262,1.1503,1.1681,1.1879,1.2019,1.2355,1.25,1.3462,1.4151
1C,1,1.139,1.1432,1.1664,1.1971,1.2193,1.2355,1.2473,1.2778,1.3115,1.3758,1.4777
1C,1,1.1533,1.1547,1.1627,1.1713,1.1856,1.2046,1.2207,1.2464,1.2662,1.3551,1.4382
1C,1,1.1951,1.1986,1.2148,1.2271,1.2319,1.2527,1.2594,1.2939,1.3308,1.3851,1.4311
1C,1,1.1625,1.1645,1.175,1.193,1.2114,1.229,1.2396,1.2661,1.3038,1.3597,1.4458
1C,1,1.1152,1.1194,1.1326,1.1477,1.1767,1.1915,1.2083,1.2382,1.2892,1.3733,1.468
1C,2,1.1414,1.14,1.1506,1.1673,1.1859,1.2053,1.2217,1.2496,1.2999,1.3628,1.4541
1C,1,1.0859,1.0904,1.1055,1.1161,1.1304,1.1523,1.1683,1.1994,1.2244,1.2783,1.3799
1C,1,1.1474,1.1507,1.1734,1.1948,1.2153,1.2334,1.2507,1.2837,1.3601,1.4324,1.4982
1C,2,1.088,1.0862,1.1025,1.1168,1.1395,1.1607,1.1738,1.215,1.2345,1.2755,1.3914
1C,1,1.1295,1.1317,1.1476,1.1748,1.206,1.2187,1.2373,1.2714,1.3206,1.3858,1.4586
1C,1,1.099,1.0995,1.1082,1.1285,1.152,1.192,1.2144,1.24,1.2991,1.3591,1.4378
1C,1,1.1266,1.1335,1.1396,1.1503,1.173,1.1879,1.2047,1.2304,1.2305,1.3255,1.4217
1C,1,1.1555,1.1565,1.1665,1.1803,1.1999,1.2145,1.2283,1.2608,1.283,1.3294,1.4019
1C,2,1.1586,1.1573,1.1775,1.203,1.2287,1.2393,1.2502,1.2773,1.3242,1.3709,1.4498
1C,2,1.0725,1.0648,1.0728,1.0865,1.0991,1.125,1.1326,1.1638,1.1985,1.2776,1.3663
1C,1,1.14,1.1447,1.1691,1.1939,1.2161,1.2332,1.2471,1.277,1.3267,1.3994,1.4771
1C,1,1.1385,1.1494,1.1716,1.1941,1.2139,1.2237,1.2372,1.2652,1.2669,1.3601,1.4402
Co,1,0.9097,0.9099,0.9194,0.9464,0.9561,0.9678,0.9847,0.9945,1.0202,1.0372,1.0668
Co,1,0.873,0.8741,0.8849,0.896,0.9042,0.9186,0.9307,0.9409,0.9585,0.9818,1.0085
Co,2,0.9255,0.9218,0.9297,0.9518,0.9613,0.9751,0.9877,1.0011,1.0181,1.0518,1.0841
Co,1,0.9202,0.9269,0.9334,0.9437,0.9552,0.9686,0.9801,0.9914,1.0085,1.0263,1.0577
Co,1,0.8876,0.8882,0.8934,0.9116,0.932,0.9456,0.9549,0.9609,0.9752,0.9924,1.0231
Co,1,0.8969,0.8994,0.9098,0.9196,0.9366,0.9466,0.9629,0.9726,0.9826,1.008,1.0343
Co,3,0.9366,0.9345,0.9302,0.9427,0.9542,0.9739,0.9906,1.0004,1.0123,1.0322,1.0498
Co,1,0.8978,0.901,0.9064,0.9156,0.9302,0.9434,0.9578,0.9683,0.978,0.9991,1.0249
Co,2,0.923,0.9187,0.9269,0.941,0.9525,0.9635,0.9759,0.9879,1.0102,1.0295,1.0528
Co,2,0.9335,0.9306,0.935,0.942,0.9524,0.9701,0.9875,1.0062,1.0267,1.0427,1.0599
Co,1,0.8552,0.8612,0.8826,0.901,0.9198,0.9343,0.9464,0.9602,0.9657,0.9827,1.0028
Co,1,0.9216,0.9306,0.9403,0.9438,0.958,0.9634,0.9706,0.981,0.9871,1.0148,1.0441
Co,3,0.9095,0.9004,0.8996,0.9217,0.9282,0.9479,0.9549,0.9595,0.9644,0.9862,1.0063
Co,2,0.8915,0.8871,0.8923,0.9063,0.9182,0.9389,0.9478,0.9675,0.991,1.0177,1.0457
Co,2,0.9311,0.9287,0.9331,0.9418,0.9499,0.9641,0.9786,0.9892,1.0066,1.0239,1.046
Co,2,0.9548,0.9435,0.9456,0.9552,0.9628,0.9737,0.9851,0.9912,1.0006,1.0183,1.041
Co,2,0.9078,0.901,0.9029,0.9207,0.9275,0.9442,0.9648,0.9822,1.0097,1.0391,1.0739
Co,1,0.9035,0.9047,0.9141,0.9303,0.9418,0.9539,0.9625,0.9715,0.9891,1.0165,1.0423
Co,2,0.925,0.923,0.9342,0.9384,0.9533,0.9648,0.9771,0.9873,0.9995,1.0174,1.0437
Co,2,0.9747,0.9747,0.9796,0.9812,0.9825,0.9913,1.0018,1.0129,1.0289,1.0458,1.0639
Co,2,0.8827,0.8794,0.881,0.8955,0.9014,0.9203,0.9414,0.9546,0.9811,1.0071,1.0419
Co,1,0.9826,0.9832,0.9886,0.9877,0.9926,1.0008,1.0175,1.0363,1.0477,1.0678,1.0874
Co,2,0.9686,0.9682,0.9772,0.9812,0.9899,1.0059,1.0201,1.0368,1.0457,1.0605,1.0838
Co,2,0.9219,0.9175,0.9247,0.9344,0.9374,0.9565,0.9696,0.9792,1.0012,1.0203,1.047
Co,2,0.9388,0.9353,0.9358,0.946,0.9548,0.9705,0.9755,0.9852,1.0037,1.0272,1.0578
Co,1,0.8792,0.8851,0.903,0.914,0.927,0.9382,0.9478,0.9635,0.9774,1.0031,1.0254
Co,1,0.8982,0.8997,0.9165,0.9301,0.9434,0.9532,0.9725,0.9909,0.9978,1.0265,1.0447
Co,1,0.9149,0.917,0.9257,0.9348,0.9504,0.9639,0.9741,0.9944,1.0049,1.0352,1.0603
Co,3,0.9283,0.924,0.9226,0.9383,0.9467,0.9599,0.9737,0.9911,1.0129,1.0343,1.0575
Co,2,0.9501,0.9472,0.9495,0.9508,0.9544,0.9659,0.9741,0.9879,1.0138,1.033,1.0574
Co,1,0.898,0.8999,0.9125,0.9243,0.9379,0.9599,0.9767,0.9942,1.0157,1.0338,1.0548
Co,1,0.8986,0.9041,0.9027,0.9049,0.9232,0.9361,0.9471,0.9599,0.9728,0.994,1.0177
Co,1,0.8999,0.8999,0.9163,0.9332,0.948,0.972,0.9842,1.0007,1.0213,1.0435,1.0702
Co,1,0.9189,0.9275,0.9425,0.9459,0.9735,0.9872,1.0009,1.0184,1.0244,1.0445,1.0769
Co,2,0.927,0.9231,0.9372,0.9444,0.9518,0.9644,0.9715,0.9835,1.0052,1.0216,1.0514
Co,1,0.9644,0.9661,0.9712,0.978,0.9764,0.9886,1.0006,1.0108,1.0168,1.0324,1.061
Co,2,0.9005,0.8984,0.9033,0.9059,0.9125,0.931,0.9445,0.9612,0.9925,1.0141,1.0366
Co,1,0.9595,0.9612,0.9723,0.9813,0.9883,0.9996,1.0145,1.028,1.0422,1.0592,1.0869
Co,1,0.9635,0.9646,0.9705,0.9683,0.9736,0.982,0.992,1.0022,1.0134,1.0339,1.0517
Co,2,0.9334,0.9212,0.9224,0.9458,0.9521,0.9616,0.976,0.9928,1.0135,1.0291,1.0509
Co,1,0.9339,0.9359,0.9451,0.9476,0.9542,0.9685,0.9779,0.995,1.0142,1.0497,1.0763
Co,2,0.8827,0.8782,0.8825,0.8939,0.9048,0.923,0.9408,0.9549,0.9781,0.9952,1.0296
Co,2,0.9373,0.9364,0.9438,0.9499,0.9571,0.9622,0.966,0.9756,0.9998,1.0241,1.0523
Co,1,0.9458,0.9484,0.958,0.9577,0.9652,0.9748,0.9868,0.9966,1.0083,1.0257,1.0469
Co,1,0.9561,0.9588,0.9596,0.9661,0.9829,0.9986,1.0024,1.0142,1.0277,1.0407,1.0591
Co,2,0.9512,0.9463,0.9522,0.9622,0.9728,0.9892,1.0009,1.0172,1.0314,1.0486,1.0746
Co,1,0.9165,0.9192,0.9207,0.9272,0.9296,0.9413,0.948,0.9565,0.9725,1.0126,1.0416
Co,2,0.9516,0.9494,0.9494,0.962,0.9665,0.9818,0.9965,1.0138,1.0337,1.0563,1.0821
Co,2,0.9387,0.9385,0.9505,0.9603,0.9698,0.9753,0.9826,0.9958,1.0151,1.0303,1.0527
Co,1,0.9423,0.9488,0.9649,0.9683,0.9767,0.9845,0.998,1.0181,1.0279,1.0503,1.077
Co,1,0.9152,0.9155,0.9264,0.9321,0.9445,0.9515,0.9517,0.9642,0.9682,0.9936,1.0147
Co,1,0.899,0.9009,0.9036,0.9153,0.9286,0.9427,0.9598,0.9742,0.9941,1.0151,1.0322
Co,1,0.8472,0.8519,0.8641,0.8755,0.8916,0.9066,0.9182,0.9413,0.9539,0.9892,1.0203
Co,2,0.8941,0.8864,0.8872,0.9067,0.9113,0.9192,0.9337,0.9448,0.9638,0.9837,1.0042
Co,1,0.9359,0.9392,0.9408,0.9652,0.9849,1.0025,1.0113,1.0233,1.0433,1.0608,1.0924
Co,2,0.899,0.8951,0.9071,0.9125,0.9182,0.9294,0.9374,0.9481,0.9637,0.9887,1.0093
Co,2,0.9022,0.902,0.9096,0.9217,0.9329,0.9427,0.9562,0.969,0.99,1.0102,1.0322
Co,1,0.9068,0.9096,0.9188,0.9287,0.9433,0.9566,0.9647,0.9724,0.9891,1.0125,1.0374
Co,2,0.9207,0.9206,0.9367,0.9452,0.9547,0.9698,0.9886,1.0062,1.0282,1.0424,1.0713
Co,2,0.9292,0.9256,0.9349,0.9478,0.9585,0.9801,0.9971,1.0137,1.0296,1.0553,1.0846
Co,3,0.9665,0.9637,0.9605,0.9679,0.9732,0.986,0.9881,0.9961,1.0097,1.0332,1.0486
Co,2,0.8983,0.8949,0.9027,0.9142,0.9287,0.9511,0.9628,0.9808,0.9934,1.015,1.0344
Co,1,0.9315,0.9337,0.9427,0.9544,0.9653,0.9808,0.9958,1.0081,1.0316,1.0537,1.0746
