Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,3,203.7104,206.9301,201.7085,202.3351,203.7741,203.5438,203.8422,208.2788,219.261,223.9124,251.0448
1C,6,183.2917,186.5644,189.5948,189.8781,182.731,180.3479,180.4547,186.17,196.378,204.6087,218.9455
1C,2,198.9021,198.0571,203.0753,206.6438,218.4427,219.9776,224.3415,220.7229,228.8921,233.8534,254.0314
1C,1,209.6083,215.698,226.6171,216.892,224.8187,222.0659,224.3368,216.8274,217.7496,220.0375,248.5768
1C,5,142.3787,141.2565,142.3285,144.3082,140.0767,140.9027,145.4897,153.0435,170.5081,178.3258,196.786
1C,4,218.379,220.183,214.9584,211.4392,214.6027,212.7637,217.559,220.8962,228.3606,232.9479,248.5275
1C,3,109.3747,110.5248,108.6188,114.0641,117.9445,118.6502,115.7377,115.542,125.2247,131.2491,134.0232
1C,3,135.1432,134.2874,134.1203,136.6555,136.5833,136.3108,137.8639,138.0143,143.2108,144.1391,157.7524
1C,6,227.5396,230.404,226.0517,222.2341,222.292,220.5945,220.7505,223.9635,232.4809,239.8891,260.3259
1C,8,187.7649,188.2625,187.679,186.4735,190.2377,188.4198,191.7975,186.1853,198.6277,215.7543,232.2257
1C,3,104.9305,102.1142,94.1958,94.5792,97.6018,99.6237,102.2252,102.1771,106.3624,110.1474,122.9337
1C,2,225.9253,214.2428,225.1309,218.7125,221.9408,218.2462,220.6092,219.6655,234.0422,240.6366,257.4924
1C,1,169.7342,170.2608,172.8206,171.1352,172.717,172.883,175.6879,172.6401,186.0047,188.2764,202.1396
1C,1,152.9996,153.5181,156.214,156.6101,162.5798,165.0492,163.9756,166.4594,172.4405,178.354,188.9783
1C,2,189.1546,184.4111,189.8953,191.1856,191.2139,193.5487,196.192,195.54,211.2621,223.6035,243.2266
1C,1,125.669,129.3355,128.8978,128.1098,129.0759,131.2946,135.9933,133.7098,144.4631,150.0519,156.6963
1C,3,103.9584,103.3162,102.0763,103.2325,103.234,104.9396,106.7946,109.0671,114.1039,122.499,134.9384
1C,1,185.8413,186.2132,195.7869,197.1896,200.9681,202.1325,200.0228,201.7377,205.6488,211.0668,236.7907
1C,2,135.5037,132.5966,139.2546,143.6911,144.8048,146.9947,150.4996,151.5512,157.5981,164.7564,192.4058
1C,2,195.0222,189.3522,189.7946,194.3052,196.9462,200.0598,200.8971,205.5292,214.3657,221.9557,243.0094
1C,9,158.9052,159.3623,158.7742,159.0648,157.6636,157.675,162.7377,157.9727,155.1192,159.2921,186.6518
1C,2,191.0703,190.9288,192.8919,197.2928,197.947,200.3962,206.8398,212.313,225.1261,236.1812,261.803
1C,6,217.8231,210.3049,211.0307,211.5493,208.988,208.3794,212.9682,213.7164,228.0936,231.6775,262.6866
1C,1,145.9851,151.3454,149.7298,155.5945,156.6461,152.5588,150.6299,154.3437,164.6562,195.5025,215.3721
1C,2,180.6319,179.5175,183.3958,190.2945,194.502,196.0237,199.148,206.0568,220.0116,224.4829,242.5459
1C,6,179.6491,176.6425,175.7709,174.9992,175.2691,173.4011,175.4953,176.4898,192.6442,205.0181,230.876
1C,1,151.688,152.6527,155.8421,163.0853,163.492,163.6283,166.072,171.6966,174.5627,182.5499,206.1271
1C,2,140.4896,140.2555,141.8499,145.5955,148.4563,149.7543,153.9754,158.9423,171.4286,190.8119,216.7021
1C,2,236.1541,232.6222,234.4566,236.9357,240.0838,245.588,242.3829,238.4179,240.0477,247.2245,260.7956
1C,3,195.2985,191.4074,191.3645,191.6744,195.4338,200.0904,209.5306,214.8455,227.4546,232.5694,255.9371
1C,5,191.3149,189.664,186.5063,184.9915,183.8914,186.1967,190.1954,196.08,209.4282,223.6068,255.7463
1C,3,214.9951,215.9592,207.6657,210.0139,216.6833,222.0168,224.4245,229.0809,239.2261,247.3667,268.5468
1C,1,135.5238,135.6754,137.8742,139.7731,146.4652,147.4127,149.8802,150.0016,154.5605,165.5833,191.7518
