Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,2,1292.9113,1289.0584,1297.4169,1305.3252,1334.2944,1381.7988,1411.0141,1445.9342,1466.7462,1515.2753,1524.9678
1C,1,1373.1905,1379.9083,1386.7247,1381.4349,1403.5299,1415.5689,1409.084,1418.4942,1437.8622,1470.5596,1497.4146
1C,3,1462.7368,1428.7238,1410.6571,1435.0591,1469.7706,1501.3837,1526.6003,1557.1379,1569.9094,1608.8033,1616.1663
1C,3,1394.2182,1394.5433,1391.0945,1412.9172,1441.7335,1475.2506,1499.5772,1521.7384,1540.1001,1560.4083,1555.6711
1C,1,1312.5836,1312.6122,1324.1097,1335.306,1356.4809,1395.9434,1449.3705,1485.0886,1526.2982,1567.4587,1595.2828
1C,2,1246.9814,1225.0455,1225.7591,1244.1566,1254.8731,1312.479,1311.1296,1333.0997,1358.0142,1393.3217,1388.261
1C,2,1298.8416,1292.6152,1301.2561,1344.0177,1385.1122,1427.7417,1473.0514,1502.7353,1524.4732,1561.4804,1583.724
1C,3,1043.0721,1034.6554,1031.6911,1048.4746,1090.3102,1106.2494,1149.2594,1184.4921,1222.0702,1255.2634,1284.6836
1C,1,1240.9444,1251.3044,1257.7846,1283.7243,1319.1328,1344.3566,1387.13,1416.0065,1422.8033,1444.9664,1483.1022
1C,2,1396.4316,1388.1483,1399.303,1449.011,1518.0236,1529.629,1573.238,1601.2287,1623.1244,1669.1907,1706.3707
1C,2,1180.1443,1153.3066,1187.3139,1191.976,1228.3059,1242.8664,1299.784,1331.7045,1361.6001,1387.4045,1391.7056
1C,3,1225.0909,1236.603,1218.8962,1227.2839,1245.7633,1274.0684,1261.7847,1271.2097,1284.3619,1320.4609,1336.5014
1C,3,1119.5275,1116.7368,1101.3447,1114.1988,1141.9479,1153.8956,1189.8533,1218.2737,1234.144,1260.1269,1248.8865
1C,2,1166.3844,1166.0568,1172.4997,1189.7633,1214.5845,1237.9304,1277.7398,1292.1854,1308.7315,1327.0864,1337.5667
1C,4,1426.2224,1382.5833,1409.806,1376.4629,1398.2237,1471.6465,1553.5224,1562.4381,1566.0319,1575.2311,1581.4818
1C,2,1360.9191,1349.9591,1350.6957,1360.3369,1378.7962,1417.3577,1465.5676,1495.0243,1499.8765,1537.7839,1558.2519
