Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,3,183.3201,184.6167,183.0865,185.0871,193.6083,193.6687,192.2516,204.1933,215.6246,224.7033,234.3865
1C,3,155.7398,153.0044,152.8801,154.5562,154.1046,155.0603,157.2404,164.7341,173.7492,181.8858,201.5272
1C,2,127.7275,127.1874,129.2107,131.385,130.848,132.8829,133.1816,138.6254,143.7556,151.9669,163.2116
1C,3,210.0916,211.1818,207.4102,207.8306,208.3338,212.4495,215.8401,219.6035,230.3911,234.9638,245.9505
1C,5,153.3745,155.0051,156.8195,155.6337,148.6688,149.9997,152.3338,155.3297,161.4315,172.4146,202.1533
1C,6,169.3544,165.7748,164.5271,165.0075,166.6953,161.7655,163.0661,163.0762,171.6796,174.0743,188.0951
1C,2,129.3948,128.6097,132.2804,135.4398,141.7161,146.958,148.5016,149.4862,158.7809,166.3996,178.9005
1C,3,172.5975,173.1205,165.5041,169.8139,178.675,183.8668,182.9235,181.4544,186.264,190.6683,205.9784
1C,8,224.4139,224.5426,225.0204,226.9817,229.3797,220.2281,221.6997,214.4513,225.2627,225.5753,247.3373
1C,6,197.2237,198.8119,193.94,192.1,191.3751,190.447,191.3474,197.4427,206.4737,214.0719,229.426
1C,1,188.5449,195.6547,199.2049,196.9601,196.4272,197.0055,202.9715,202.2713,210.5957,219.777,227.3773
1C,7,206.1671,207.878,206.3247,203.3452,199.4127,198.5264,197.6321,202.8112,214.3636,219.5625,246.9374
1C,1,122.4111,122.4288,123.9432,127.9255,131.4712,135.1798,136.6529,139.6961,149.3395,148.4026,168.07
1C,8,202.8495,193.2314,191.7006,186.386,180.3806,177.6022,178.9718,175.1892,186.7033,192.28,202.4383
1C,1,162.4611,165.8175,168.7471,172.7244,172.117,172.1841,173.3017,175.3076,183.4518,190.2377,217.2697
1C,5,189.6946,192.9706,186.6482,183.3286,182.2781,184.9651,186.4067,190.2087,202.5762,209.7879,215.8139
1C,6,164.0982,165.5032,163.4317,159.4508,150.5563,145.7704,149.8227,149.6708,152.9422,159.2644,199.1259
1C,2,187.0293,184.5936,187.5116,186.959,188.8982,190.0109,189.4121,195.2409,197.4536,209.9075,221.9454
1C,1,168.5787,169.2985,168.8443,169.6723,173.0367,174.793,175.4678,176.0511,184.1606,188.2845,202.6261
