Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,4,1944.9791,1987.6391,1952.3062,1938.0296,1962.2943,1989.1992,1997.3663,2044.6239,2042.1487,2156.0886,2287.8396
1C,1,1962.3855,2017.1461,2000.1998,1982.7702,2047.4349,2056.9666,2060.0415,2056.5146,2069.1009,2120.5016,2235.1112
1C,9,2018.1542,2030.4977,2024.0908,2060.9477,2099.7219,2147.7265,2087.032,2043.2514,2001.9034,2042.4208,2141.6648
1C,1,2123.9762,2189.7859,2173.4469,2166.7386,2173.7537,2187.7517,2168.0178,2158.3256,2178.3691,2220.9869,2331.6141
1C,9,1846.9812,1861.8104,1870.3601,1872.4084,1860.4169,1854.7071,1828.5412,1854.4639,1822.3202,1902.5964,2093.5135
1C,2,1935.6064,1923.2767,1954.6704,1938.1305,1937.1954,1959.1498,1948.1572,1951.4134,1948.0701,1999.3711,2138.5459
1C,2,1624.3027,1592.1293,1605.3112,1625.0045,1744.8868,1844.1889,1944.7863,1984.1561,1892.6037,1975.3454,2042.0874
1C,1,1680.8289,1730.998,1690.6022,1691.3832,1760.2978,1872.3508,1920.0816,1984.6054,1980.8657,2027.5173,2119.3381
1C,3,1932.767,2014.3252,1921.018,1922.734,1967.5179,2007.5364,1988.0077,2009.8009,2010.5351,2107.4348,2213.3228
1C,3,2067.5418,2092.2002,2057.2074,2076.2806,2098.878,2119.5109,2155.4498,2195.9936,2186.9999,2296.7715,2401.3304
1C,4,1947.3041,1893.5414,1890.8644,1830.3163,1949.1609,2029.1768,2034.2487,1974.6008,1971.1503,1993.4745,2166.1044
1C,3,1860.2331,1882.6714,1837.7233,1844.3647,1876.1121,1877.1079,1865.9992,1838.0742,1847.7781,1903.2099,1951.4472
1C,1,2079.3032,2117.9596,2086.753,2099.0746,2105.8109,2132.1074,2106.552,2123.8889,2161.6913,2245.7188,2293.4032
1C,1,1976.0766,2002.8211,2051.9098,1999.4519,2088.0697,2145.032,2220.9994,2238.2279,2272.5784,2336.9422,2475.9187
1C,4,1925.214,1933.7124,1931.396,1842.6599,1927.6237,1977.1568,1950.1179,1949.9953,1953.773,1973.5438,2086.2899
1C,3,2042.0217,2017.9169,1994.0578,1995.2419,2016.4067,2036.4724,2066.4112,2125.1571,2139.7659,2263.7738,2422.9569
1C,1,2054.3795,2070.6917,2073.7208,2085.0083,2100.1198,2147.157,2152.2048,2199.5277,2199.1634,2306.5711,2402.3647
1C,2,1546.5477,1532.8023,1543.1883,1538.9528,1536.7098,1592.4332,1642.0402,1698.8966,1739.423,1823.3264,1962.1952
1C,1,1439.954,1463.0744,1475.9544,1462.0911,1535.7578,1582.7053,1582.5997,1599.5709,1590.0062,1625.7868,1732.0555
1C,3,1923.0148,1922.4747,1888.8327,1932.6612,1957.4274,1981.0742,1963.5101,2000.2014,1930.4264,2050.3061,2175.5352
1C,5,1635.458,1619.5848,1601.4387,1577.4519,1557.4971,1562.5213,1608.1333,1649.0859,1678.9111,1737.0714,1905.0459
1C,8,1926.6231,1957.8877,1905.8753,1902.1571,1860.0227,1810.8853,1791.6968,1747.6603,1757.4527,1764.6518,1908.9959
1C,2,1853.5339,1838.5414,1900.7805,1878.416,1968.3212,1998.1118,1970.5404,1972.2202,1953.3566,1988.2357,2158.6946
1C,1,1393.238,1398.1371,1399.9918,1404.13,1413.2537,1463.4343,1523.8609,1568.4751,1567.0522,1623.6102,1764.6192
1C,4,1644.4869,1644.8848,1651.8451,1579.0331,1622.8793,1679.3519,1756.9874,1836.3147,1837.02,1889.4153,2014.3258
1C,4,1923.354,1912.58,1874.6857,1807.7135,1821.546,1825.8726,1838.2815,1844.3012,1834.4484,1853.923,1978.101
1C,2,1930.1796,1902.3242,1915.8043,1920.6968,1958.9054,1969.8002,1947.6049,1949.4384,1971.2802,1998.927,2086.2907
1C,1,1702.3073,1708.042,1725.436,1744.3543,1740.5939,1769.1219,1754.999,1736.7516,1781.2128,1847.6973,2023.4883
1C,5,2027.9999,2062.3644,2016.2064,1989.3335,1988.5427,2026.3691,2054.4096,2032.2004,2028.901,2104.4994,2233.011
1C,1,2100.544,2132.5783,2120.3694,2117.373,2194.3661,2213.0573,2181.1199,2190.5184,2179.3905,2315.4176,2467.7663
1C,5,2051.5492,2061.5953,1949.9433,1950.1888,1940.5529,1964.7964,1967.1943,1942.1627,1951.3099,2035.3253,2174.6489
1C,4,1612.7178,1600.1684,1617.3322,1548.7564,1604.714,1603.1609,1651.14,1675.1827,1699.1838,1735.2436,1850.4978
1C,4,1816.0122,1878.9735,1843.8353,1750.9258,1798.9472,1849.9386,1859.2477,1875.2274,1874.3318,1943.5453,2067.5094
1C,1,1952.2746,2026.4431,2016.9361,1998.7574,2111.9339,2196.087,2230.6228,2245.1267,2219.0518,2277.4229,2396.7382
1C,1,1648.3488,1653.4555,1670.6825,1655.9962,1670.08,1688.8232,1722.7924,1746.7408,1763.2552,1825.0276,1931.1959
1C,1,1661.2166,1670.4713,1667.0888,1677.7198,1672.9968,1692.6705,1782.5089,1831.3098,1850.0606,1915.5201,2069.7451
1C,1,2196.3262,2228.2549,2221.0398,2237.828,2308.2644,2310.0497,2305.8341,2303.4586,2263.8031,2311.6652,2447.7734
1C,4,1858.1606,1825.9259,1776.8403,1746.5108,1770.1133,1768.3371,1818.5885,1794.015,1808.7643,1895.6702,1997.9807
1C,5,1947.3638,1969.7064,2019.968,1981.6548,1930.7382,2010.1106,2000.3821,2064.9235,2027.9298,2049.0473,2160.2664
1C,1,1748.993,1771.4834,1778.8194,1837.6053,1862.2221,1937.3793,1986.3032,2047.6902,2004.8054,2077.7452,2244.3246
1C,1,2019.4919,2023.768,2030.5803,2070.4855,2115.2078,2156.9149,2227.9315,2257.7855,2234.4651,2279.0047,2360.2636
