Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,7,2337.8249,2337.0071,2328.439,2342.1416,2341.5763,2320.0118,2274.0786,2274.639,2275.2754,2287.599,2383.4722
1C,4,1846.9849,1825.7227,1784.7791,1744.7544,1757.4554,1761.1258,1860.9859,1843.4543,1837.1722,1857.0223,1944.6518
1C,8,1732.9951,1704.2746,1699.6826,1654.269,1682.772,1684.2657,1657.543,1649.8202,1651.7894,1697.1098,1825.5101
1C,9,2201.999,2261.1539,2173.2692,2151.9504,2196.2827,2237.5152,2196.0122,2186.9582,2138.7059,2182.9041,2296.2349
1C,4,2176.2996,2075.1168,2060.3345,1987.1349,2005.4479,2054.7934,2059.2834,2066.5338,2073.0956,2125.7585,2190.9591
1C,5,2054.9119,2029.1912,1992.3261,1977.9592,1961.2721,1968.2264,1981.2746,1965.4573,2014.9576,2030.2561,2147.2845
1C,9,2079.8896,2065.3213,2036.9087,1992.2299,1979.3913,1995.0048,1973.0192,1969.1753,1962.1546,1972.0144,2091.6558
1C,8,2270.0602,2264.1566,2270.9551,2234.533,2236.0941,2215.1094,2189.2415,2168.5641,2181.5087,2226.7186,2344.0383
1C,5,2221.8348,2169.47,2155.235,2115.5492,2078.2728,2110.723,2122.1676,2130.2589,2157.3113,2182.7935,2282.3664
1C,7,2347.8174,2369.1832,2269.0752,2271.3267,2261.7083,2295.456,2251.1081,2270.1183,2268.7025,2270.9107,2362.715
1C,1,1479.7628,1503.0049,1499.0782,1511.6318,1515.377,1519.5531,1537.8264,1505.5016,1542.1537,1579.064,1675.9682
1C,8,2158.0579,2151.6894,2169.9749,2169.6489,2165.9623,2157.9437,2125.5176,2121.6145,2132.1529,2155.8847,2216.3993
1C,9,2326.6864,2302.5941,2288.5044,2296.4065,2310.0827,2305.3021,2283.2485,2254.0885,2250.8019,2281.241,2372.8453
1C,5,2332.6465,2302.0664,2259.6424,2241.4641,2241.0456,2273.2315,2271.054,2268.7279,2272.5409,2316.6568,2397.7488
1C,9,2177.3976,2244.8638,2160.0463,2078.1259,2041.7603,2036.6167,2023.6679,2011.3644,2004.5743,2043.1807,2131.6422
1C,3,2330.481,2302.5791,2302.0113,2330.3118,2345.945,2368.9406,2322.6202,2324.3281,2331.1311,2364.4985,2452.5048
1C,3,1470.263,1461.3484,1449.2449,1449.5588,1461.9052,1492.1013,1521.319,1536.6846,1593.047,1646.2849,1747.9172
1C,9,2219.4728,2266.8827,2247.0746,2192.9607,2168.9681,2160.0076,2065.2987,2109.6507,2043.0966,2101.4796,2140.9561
1C,8,1895.8398,1887.7508,1874.8857,1851.4889,1854.8177,1837.0934,1817.0849,1798.6823,1817.44,1843.3418,1910.8412
1C,3,2057.9778,2041.653,1996.8199,2015.235,2009.5358,2050.9631,2035.6444,2047.4799,2033.5776,2064.6555,2184.5367
1C,8,1474.3777,1464.0015,1450.5263,1443.5637,1455.933,1422.7319,1389.7952,1388.7985,1389.3836,1401.605,1483.0812
1C,3,1884.9216,1812.1133,1782.4012,1804.6586,1798.3866,1841.7792,1838.2146,1859.9734,1899.3149,1957.6003,2058.0822
1C,5,1599.6283,1573.2179,1580.839,1529.9657,1523.2718,1587.65,1588.3878,1583.7354,1594.3643,1617.1575,1706.886
1C,9,1986.8158,1996.0687,1970.4842,1971.5746,1987.819,1984.681,1965.2729,1926.2637,1915.888,1929.5297,2020.6633
1C,8,2430.5529,2396.5799,2321.7293,2233.683,2250.1955,2249.2034,2242.8539,2226.9953,2237.2728,2241.6989,2346.4184
1C,3,1550.3198,1531.4576,1480.6108,1487.4641,1483.3052,1516.7952,1525.7446,1545.173,1555.4383,1605.6434,1720.4101
1C,8,1928.0919,1932.3631,1934.4239,1972.9908,1925.3202,1885.2975,1888.1593,1852.8691,1856.9263,1872.9815,1993.4222
1C,4,2168.1782,2129.6366,2109.6385,2066.339,2078.1901,2094.8026,2085.4766,2101.0634,2084.4279,2116.302,2209.846
1C,9,1771.4111,1786.8361,1783.8879,1778.6042,1755.8928,1776.3985,1751.142,1767.5472,1749.2543,1820.1247,1985.8957
1C,4,1699.4683,1667.2357,1651.067,1620.7705,1651.334,1723.0923,1766.6795,1755.9502,1786.9639,1938.8943,1892.776
1C,9,2232.5393,2156.3179,2118.1312,2133.0792,2131.424,2137.4464,2069.0339,2028.3311,2021.9876,2061.7583,2165.7478
1C,9,2427.1395,2415.7446,2416.7029,2436.293,2436.8416,2454.7299,2406.8234,2402.038,2400.0041,2454.1488,2557.016
1C,9,2542.82,2551.1044,2498.3854,2478.1988,2468.9011,2426.7992,2410.7585,2398.3099,2397.0073,2416.517,2513.8732
1C,8,2383.5513,2363.9237,2312.6935,2326.5082,2364.1569,2335.4974,2245.6431,2219.3705,2223.6794,2236.5209,2313.8466
1C,8,2371.8527,2303.5545,2270.9942,2228.1159,2220.665,2255.0451,2216.8379,2212.8189,2221.5922,2273.7836,2384.3611
1C,7,1918.9618,1885.9662,1875.3594,1825.6368,1826.6268,1842.8576,1824.4989,1841.3598,1845.6679,1864.7895,1963.7579
1C,4,2103.6264,2060.3406,2029.6385,1981.0786,2027.9495,2062.0719,2022.6896,1987.9324,2005.1432,2064.5612,2185.9742
1C,4,1820.2023,1791.1376,1784.6179,1757.2592,1767.3041,1788.7061,1791.6909,1782.2507,1783.475,1863.2562,2042.0746
1C,7,2241.8881,2241.3268,2208.2274,2183.2132,2154.984,2120.1367,2086.3136,2110.854,2122.5804,2188.3659,2324.3751
1C,8,2421.471,2392.0518,2407.2592,2319.1337,2312.1444,2281.4206,2242.0402,2229.9414,2241.599,2296.7979,2422.2388
1C,7,2278.9966,2304.0896,2291.4117,2263.0682,2250.6342,2253.5325,2245.6077,2253.8263,2251.1859,2297.1478,2393.2658
1C,7,2481.1712,2461.8363,2486.1105,2475.4614,2423.6485,2397.6241,2376.038,2392.5713,2377.3966,2383.0581,2475.837
1C,4,2390.6735,2244.6243,2226.1314,2205.1613,2273.4255,2297.4847,2238.4724,2220.5653,2229.3058,2214.9822,2305.1911
1C,5,1707.829,1714.762,1659.7227,1625.7001,1623.7691,1635.7157,1661.447,1678.1778,1722.8165,1796.4319,1955.5764
1C,8,2387.5278,2307.2521,2310.2297,2373.8715,2389.4619,2322.1843,2265.2674,2252.0542,2257.9815,2316.9635,2445.7863
1C,7,2189.3735,2188.3733,2111.4984,2113.5953,2128.9329,2132.9087,2100.3459,2102.2194,2117.7431,2163.6163,2211.2366
1C,5,2007.0991,1947.1322,1954.3226,1952.1775,1904.0339,1940.8383,1930.1796,1925.3228,1951.6041,1997.4285,2074.1044
1C,2,1806.3246,1789.4374,1813.1501,1804.0261,1821.1719,1835.3328,1831.828,1836.0897,1861.9338,1903.9852,2027.7786
1C,8,1784.3906,1766.6981,1766.2428,1734.114,1695.1437,1693.3609,1686.5717,1672.2394,1712.4643,1742.5089,1811.0091
1C,9,2162.9179,2128.9922,2125.2846,2111.8632,2116.9081,2123.8378,2106.6373,2109.6247,2097.9848,2171.5802,2301.6531
1C,1,2192.9773,2195.1553,2223.184,2220.8013,2214.6906,2290.3109,2239.0838,2262.2966,2216.3042,2298.5946,2323.0289
1C,7,2158.1428,2098.0854,2111.2924,2067.6639,2072.0292,2081.7371,2055.8469,2061.8351,2061.9991,2080.6677,2169.3412
1C,9,2315.6338,2265.4409,2234.8162,2179.519,2212.8535,2211.7796,2153.5239,2125.6114,2119.389,2171.1512,2250.927
1C,5,1816.1882,1814.847,1761.2097,1764.1138,1738.2978,1756.0667,1819.3629,1790.7989,1853.9686,1906.3722,1995.5004
1C,9,2392.3329,2335.1493,2356.0209,2320.4112,2311.8572,2306.9814,2293.6171,2269.0359,2266.4542,2311.2275,2407.708
1C,3,1720.2695,1719.7714,1699.908,1718.317,1774.4466,1816.9499,1851.1286,1776.7234,1791.3356,1962.9732,1922.648
Co,9,390.7422,390.833,385.3914,381.022,373.2327,362.3623,364.861,365.9627,359.4637,362.1723,368.0133
Co,5,301.5283,296.97,292.7871,291.4732,285.309,290.8631,296.0182,290.9508,297.7047,300.1436,313.2213
Co,9,402.435,413.0349,402.0055,414.3336,397.7821,390.1291,389.0335,386.9766,385.4617,388.8135,400.905
Co,1,313.6858,321.4581,333.0781,332.5018,323.3026,317.8714,317.8808,315.531,314.956,318.1492,322.0043
Co,8,426.1658,418.9028,426.6643,419.3023,408.9868,407.0772,404.1562,399.0975,400.1196,405.7696,417.2934
Co,9,382.1073,388.7158,385.2418,373.174,359.8993,347.014,348.9926,343.0967,342.1,347.3924,367.5482
Co,9,352.7941,344.6699,347.3209,339.9725,340.0452,347.4713,349.6521,347.9045,331.0142,344.1874,331.6593
Co,6,412.8349,410.3103,424.3601,412.6816,399.5422,396.8203,400.9845,397.8089,399.5582,402.2142,413.4648
Co,8,323.5443,324.6129,321.9066,311.5952,311.8678,312.9114,309.7077,305.6342,307.2261,308.7498,324.0779
Co,5,391.7908,382.2995,375.0976,367.2247,365.3709,368.5679,370.7651,368.9728,367.6859,378.7117,391.1187
Co,5,381.5621,382.0068,381.8321,377.6841,375.2919,385.0577,385.6985,381.0462,388.5715,391.348,405.1497
Co,6,375.5662,373.022,374.9409,376.522,382.0512,365.2731,368.0122,368.4223,365.5857,369.0263,382.5237
Co,9,364.1254,361.757,358.1426,353.6281,347.2975,347.2818,347.9305,340.2127,338.7976,346.911,355.0972
Co,4,361.3221,362.4767,353.48,353.0199,359.3753,358.7158,367.9746,368.4402,360.8762,373.2873,384.8792
Co,3,420.4131,411.443,408.3164,413.7617,418.1468,408.9605,421.1139,417.3273,416.2115,418.0793,427.7658
Co,6,359.1295,355.8203,354.2367,349.0949,348.767,335.7774,338.576,337.6857,343.3666,347.1824,365.7543
Co,5,284.0546,283.8646,274.9628,267.7136,264.9013,269.3893,277.2171,273.6653,266.654,273.7109,279.027
Co,9,413.6899,406.5063,410.9,395.4433,393.0775,390.6775,390.5246,383.3199,382.0309,386.7703,394.355
Co,5,409.0626,407.7471,412.5954,406.7427,405.0508,407.8916,409.2888,407.0424,411.303,416.5436,428.6847
Co,6,391.0439,395.9682,399.4459,386.1743,385.1586,381.5961,384.7667,384.6439,383.9643,386.9997,400.5838
Co,8,304.8358,305.9883,296.1605,292.5177,283.6694,278.7274,276.8018,270.364,271.9117,277.3903,288.4941
