Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,1,178.4316,180.0728,182.8938,182.8048,184.8727,185.4862,189.3077,191.0713,201.4986,210.6411,214.4114
1C,5,192.9603,192.4112,191.2223,190.5124,190.3441,190.4572,194.6222,200.8637,210.1343,220.6124,231.8314
1C,2,184.8509,182.0334,182.5157,184.0128,183.6531,184.3145,186.2153,186.9104,192.1824,198.8828,205.5036
1C,1,110.9899,112.1564,114.5563,114.7531,124.0278,128.832,131.2785,138.2361,142.9185,147.0787,170.956
1C,4,192.0902,195.1493,196.285,190.5233,198.3834,200.3872,201.0095,200.7918,205.5775,211.7576,220.1981
1C,1,173.3926,176.1556,178.4001,180.7942,184.4707,185.5297,190.7486,194.8245,199.0585,211.2999,229.0513
1C,2,189.0475,186.148,187.3439,189.0177,190.7683,192.3659,190.9654,193.1828,194.694,201.0713,216.4476
1C,6,188.6714,193.2199,191.0379,189.7882,187.4683,187.2257,189.4269,190.1445,190.5622,200.2201,208.3025
1C,2,129.0327,128.9261,130.542,133.7704,135.6012,135.8769,136.8169,140.3589,143.087,149.2503,163.8737
1C,1,115.9388,116.4221,117.7583,118.6389,120.2215,120.3811,121.4131,122.386,126.7385,136.3813,153.0555
1C,7,182.2086,185.7388,189.4796,187.7964,180.2109,178.4197,175.2971,178.3411,188.4312,188.4429,199.1005
1C,1,127.7517,129.4743,131.3008,131.8046,132.8308,133.5812,135.753,142.2155,152.0496,161.826,182.9194
1C,1,154.3844,154.6063,155.8718,155.7157,163.5504,166.753,168.2296,172.9192,175.3302,179.8626,181.377
1C,2,104.4349,99.4173,102.0288,103.724,106.9811,107.368,110.6219,113.2096,121.3509,131.5959,138.1359
1C,1,172.8265,178.9772,178.7828,186.0392,193.1189,197.5003,198.6902,201.4435,210.4167,214.4806,223.9182
1C,1,187.223,192.7826,197.9002,193.9931,195.8418,192.9418,193.7361,193.1871,197.6477,205.6903,218.4305
1C,2,91.1874,91.0639,91.9511,94.1416,98.2304,99.8266,104.7341,106.263,109.8534,117.3008,123.8019
1C,4,191.033,187.5809,182.9456,180.4841,180.8942,181.0381,184.3203,185.9158,194.1572,198.1621,212.8398
1C,8,172.4609,175.1986,169.8026,170.3698,172.919,171.8004,167.5375,166.8891,171.8131,180.1379,195.3484
1C,4,131.0045,130.9859,131.702,130.3977,132.4742,134.822,135.3744,139.9293,143.5791,149.3975,165.2831
1C,1,124.2893,127.0206,129.0678,127.4756,132.8209,135.5426,136.3768,138.8526,146.3114,151.0142,167.0358
1C,1,168.9292,169.8156,172.0933,172.3259,174.2741,175.8791,175.6132,180.5987,186.5159,193.8622,205.8373
1C,2,175.6828,175.07,178.6041,182.687,184.9906,183.4193,184.773,181.2988,190.5775,196.4238,215.8806
1C,5,191.9769,194.5599,191.1425,188.3237,187.5912,190.4781,193.3312,197.1961,208.6631,211.1902,221.8052
1C,3,196.3613,196.7958,195.6865,196.2104,202.7624,205.1709,205.6593,207.8959,211.4544,216.1781,238.3477
1C,4,195.6274,194.5747,195.5264,190.7902,192.8423,192.9794,196.6279,197.9365,202.827,215.3585,224.1348
1C,4,172.56,172.7375,173.2166,171.7652,172.6353,175.3233,176.0571,178.5119,176.9906,187.7828,194.2109
